device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1465500722,2902254894705,"(0.3863169848918915, 0.16474123299121857)","(-62.14555358886719, 255.41249084472656, 86.12554931640625)",1,3.824783325195313,1,"(-31.68133544921875, 38.19367599487305, 598.4298095703125)",1,"(0.39369457960128784, 0.12379556894302368)","(-58.04908752441406, 267.42987060546875, 90.49954223632812)",1,3.7091217041015625,1,"(30.41885757446289, 46.268699645996094, 599.058349609375)",1
1465517031,2902254911014,"(0.3870908319950104, 0.16539712250232697)","(-61.715850830078125, 255.21998596191406, 86.05546569824219)",1,3.8328704833984375,1,"(-31.67793083190918, 38.213035583496094, 598.4951782226562)",1,"(0.3923855423927307, 0.1291584074497223)","(-58.77593994140625, 265.8559265136719, 89.9266586303711)",1,3.70709228515625,1,"(30.434297561645508, 46.30400466918945, 599.1362915039062)",1
1465533777,2902254927760,"(0.3878091871738434, 0.16968581080436707)","(-61.316986083984375, 253.9612579345703, 85.59735107421875)",1,3.82861328125,1,"(-31.65036964416504, 38.24215316772461, 598.4752197265625)",1,"(0.39119842648506165, 0.12804637849330902)","(-59.43508529663086, 266.1822509765625, 90.04545593261719)",1,3.7107086181640634,1,"(30.47060775756836, 46.3171272277832, 599.1150512695312)",1
1465550642,2902254944625,"(0.390068382024765, 0.16567836701869965)","(-60.06255340576172, 255.13746643066406, 86.02538299560547)",1,3.827346801757813,1,"(-31.619234085083008, 38.24700927734375, 598.4983520507812)",1,"(0.3908964693546295, 0.12573309242725372)","(-59.60273361206055, 266.8612365722656, 90.29254150390625)",1,3.716140747070313,1,"(30.515377044677734, 46.31181716918945, 599.1346435546875)",1
1465566900,2902254960883,"(0.3902389407157898, 0.16781577467918396)","(-59.96784973144531, 254.51014709472656, 85.79710388183594)",1,3.833984375,1,"(-31.606098175048828, 38.25802993774414, 598.6727905273438)",1,"(0.3937045931816101, 0.12410943955183029)","(-58.043514251708984, 267.3377685546875, 90.46598815917969)",1,3.709442138671875,1,"(30.539384841918945, 46.30744552612305, 599.3006591796875)",1
1465583691,2902254977674,"(0.39357417821884155, 0.16861821711063385)","(-58.11593246459961, 254.2746124267578, 85.71141815185547)",1,3.8430023193359375,1,"(-31.604310989379883, 38.276920318603516, 599.1158447265625)",1,"(0.3914077579975128, 0.12379453331232071)","(-59.31885528564453, 267.4302062988281, 90.4996109008789)",1,3.7117767333984375,1,"(30.613967895507812, 46.33759307861328, 599.780029296875)",1
1465600562,2902254994546,"(0.39224204421043396, 0.16992352902889252)","(-58.855621337890625, 253.89151000976562, 85.57194519042969)",1,3.855911254882813,1,"(-31.588165283203125, 38.31439208984375, 599.4845581054688)",1,"(0.39174172282218933, 0.12706297636032104)","(-59.1334228515625, 266.4709167480469, 90.15045928955078)",1,3.7154541015625,1,"(30.652679443359375, 46.373619079589844, 600.1091918945312)",1
1465616866,2902255010850,"(0.3912630081176758, 0.17027053236961365)","(-59.399234771728516, 253.7896728515625, 85.53483581542969)",1,3.853790283203125,1,"(-31.583858489990234, 38.33336639404297, 599.6690673828125)",1,"(0.3923119008541107, 0.12965896725654602)","(-58.816829681396484, 265.7090148925781, 89.87313842773438)",1,3.7265777587890634,1,"(30.676076889038086, 46.397159576416016, 600.2935180664062)",1
1465633607,2902255027591,"(0.38965922594070435, 0.16643600165843964)","(-60.28971862792969, 254.9150848388672, 85.9444808959961)",1,3.8532562255859375,1,"(-31.558679580688477, 38.3492546081543, 599.878662109375)",1,"(0.38867348432540894, 0.12457390129566193)","(-60.83710479736328, 267.2014465332031, 90.41635131835938)",1,3.714263916015625,1,"(30.735797882080078, 46.409751892089844, 600.510498046875)",1
1465650482,2902255044466,"(0.4560382068157196, 0.19669152796268463)","(-23.43233871459961, 246.0352020263672, 82.71247100830078)",1,3.88604736328125,1,"(-31.186012268066406, 38.3077278137207, 600.2781372070312)",1,"(0.46560609340667725, 0.17311659455299377)","(-18.11971092224121, 252.954345703125, 85.23086547851562)",1,3.741058349609375,1,"(31.08489227294922, 46.37635040283203, 600.87353515625)",1
1465666832,2902255060816,"(0.5393576622009277, 0.23722431063652039)","(22.831357955932617, 234.13900756835938, 78.38261413574219)",1,3.9132080078125,1,"(-30.67972755432129, 38.190269470214844, 599.528076171875)",1,"(0.544061541557312, 0.20408090949058533)","(25.443201065063477, 243.866455078125, 81.9231185913086)",1,3.7252197265625,1,"(31.436742782592773, 46.23160171508789, 600.2122192382812)",1
1465683523,2902255077507,"(0.6200323700904846, 0.30576369166374207)","(67.62650299072266, 214.02297973632812, 71.06098175048828)",1,3.8936920166015625,1,"(-30.003889083862305, 38.11562728881836, 597.8851928710938)",1,"(0.6315662264823914, 0.24955910444259644)","(74.03073120117188, 230.51878356933594, 77.0649642944336)",1,3.6753997802734375,1,"(31.883705139160156, 45.95786666870117, 598.3118896484375)",1
1465700402,2902255094386,"(0.6248829960823059, 0.29595765471458435)","(70.31986999511719, 216.9010009765625, 72.10850524902344)",1,3.9046783447265625,1,"(-30.005033493041992, 38.17583084106445, 598.8613891601562)",1,"(0.6354941129684448, 0.23717543482780457)","(76.2117691040039, 234.15333557128906, 78.3878402709961)",1,3.68963623046875,1,"(31.962642669677734, 45.99064254760742, 599.0603637695312)",1
1465716702,2902255110687,"(0.6303911805152893, 0.29015615582466125)","(73.37832641601562, 218.60369873046875, 72.7282485961914)",1,3.8974761962890634,1,"(-30.023948669433594, 38.19081497192383, 598.9615478515625)",1,"(0.639721155166626, 0.2383214831352234)","(78.55889129638672, 233.81695556640625, 78.26537322998047)",1,3.6923980712890634,1,"(31.979639053344727, 46.02250671386719, 599.3558349609375)",1
