device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1258565549,2902047957765,"(0.5185043215751648, 0.555640459060669)","(11.252402305603027, 140.68511962890625, 44.3681755065918)",1,3.270370483398437,1,"(-27.976171493530273, 57.347625732421875, 569.5912475585938)",1,"(0.5013466477394104, 0.5479168891906738)","(1.7254514694213867, 142.95191955566406, 45.1932487487793)",1,3.2360076904296875,1,"(34.233856201171875, 63.36555862426758, 569.857421875)",1
1258582396,2902047974612,"(0.5181568264961243, 0.5581094026565552)","(11.059440612792969, 139.96051025390625, 44.104427337646484)",1,3.2745513916015625,1,"(-28.062877655029297, 57.29611587524414, 569.573974609375)",1,"(0.5028302073478699, 0.5418115854263306)","(2.5492403507232666, 144.7438507080078, 45.84543228149414)",1,3.232208251953125,1,"(34.149662017822266, 63.30564498901367, 569.8583374023438)",1
1258598792,2902047991008,"(0.517976701259613, 0.5581225156784058)","(10.95942211151123, 139.9566192626953, 44.103031158447266)",1,3.2874298095703125,1,"(-28.11278533935547, 57.26533126831055, 569.5059204101562)",1,"(0.5026819705963135, 0.5387889742851257)","(2.4669461250305176, 145.63096618652344, 46.16834259033203)",1,3.2362823486328125,1,"(34.09171676635742, 63.2739372253418, 569.80908203125)",1
1258615463,2902048007679,"(0.5173300504684448, 0.562062680721283)","(10.600380897521973, 138.80020141601562, 43.68213653564453)",1,3.302108764648437,1,"(-28.181211471557617, 57.25677490234375, 569.4743041992188)",1,"(0.5032700300216675, 0.5403451919555664)","(2.7934510707855225, 145.17420959472656, 46.002105712890625)",1,3.2632598876953125,1,"(34.006710052490234, 63.251590728759766, 569.785400390625)",1
1258632310,2902048024527,"(0.5173467397689819, 0.5600266456604004)","(10.609635353088379, 139.39776611328125, 43.8996696472168)",1,3.313934326171875,1,"(-28.213777542114258, 57.28245162963867, 569.4616088867188)",1,"(0.5023669004440308, 0.5405328273773193)","(2.2919769287109375, 145.11915588378906, 45.982017517089844)",1,3.2630157470703125,1,"(33.976409912109375, 63.270118713378906, 569.7880249023438)",1
1258648661,2902048040878,"(0.5163210034370422, 0.5607737302780151)","(10.040098190307617, 139.17849731445312, 43.81985855102539)",1,3.327728271484375,1,"(-28.20114517211914, 57.307167053222656, 569.4393920898438)",1,"(0.5012093186378479, 0.5437368154525757)","(1.6492071151733398, 144.1787872314453, 45.63972854614258)",1,3.2610626220703125,1,"(33.97954559326172, 63.290584564208984, 569.765625)",1
1258665379,2902048057596,"(0.5172897577285767, 0.5581245422363281)","(10.578019142150879, 139.95603942871094, 44.10283660888672)",1,3.345703125,1,"(-28.149402618408203, 57.34400939941406, 569.3935546875)",1,"(0.5023499131202698, 0.5454098582267761)","(2.2825396060943604, 143.68772888183594, 45.461063385009766)",1,3.2668914794921875,1,"(34.04399490356445, 63.337554931640625, 569.7089233398438)",1
1258682230,2902048074447,"(0.5177042484283447, 0.5620046257972717)","(10.808168411254883, 138.81727600097656, 43.68832015991211)",1,3.3540496826171875,1,"(-28.04210090637207, 57.388038635253906, 569.4487915039062)",1,"(0.5040451884269714, 0.5445066094398499)","(3.223858118057251, 143.95281982421875, 45.55752944946289)",1,3.2586822509765625,1,"(34.14338684082031, 63.37366485595703, 569.7491455078125)",1
1258698627,2902048090844,"(0.517387330532074, 0.5628529191017151)","(10.63217544555664, 138.5682830810547, 43.59769058227539)",1,3.3568878173828125,1,"(-27.959075927734375, 57.40179443359375, 569.4762573242188)",1,"(0.5020145773887634, 0.5491817593574524)","(2.0963239669799805, 142.58071899414062, 45.058101654052734)",1,3.270294189453125,1,"(34.220088958740234, 63.3938102722168, 569.7637939453125)",1
1258715295,2902048107512,"(0.5166637897491455, 0.5602750778198242)","(10.230386734008789, 139.32489013671875, 43.873111724853516)",1,3.3562469482421875,1,"(-27.834285736083984, 57.41511917114258, 569.3731689453125)",1,"(0.5009577870368958, 0.5458860993385315)","(1.5095773935317993, 143.54798889160156, 45.410160064697266)",1,3.2712860107421875,1,"(34.352542877197266, 63.383846282958984, 569.6326904296875)",1
