device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1513612104,2902303006473,"(0.587986171245575, 0.2959091067314148)","(49.832664489746094, 216.9152374267578, 72.1136703491211)",1,3.6859130859375,1,"(-32.85115432739258, 36.87009811401367, 595.56787109375)",1,"(0.5920121669769287, 0.26297688484191895)","(52.06812286376953, 226.58070373535156, 75.63160705566406)",1,3.5894927978515625,1,"(29.133037567138672, 42.69492721557617, 596.1671752929688)",1
1513628477,2902303022846,"(0.5871337056159973, 0.2947414219379425)","(49.35931396484375, 217.25796508789062, 72.23841094970703)",1,3.6673736572265625,1,"(-32.82646942138672, 36.86064910888672, 595.5402221679688)",1,"(0.5913681387901306, 0.26393869519233704)","(51.71051025390625, 226.29843139648438, 75.52886199951172)",1,3.585784912109375,1,"(29.151975631713867, 42.696353912353516, 596.1202392578125)",1
1513645173,2902303039542,"(0.5889784693717957, 0.29571738839149475)","(50.38362503051758, 216.9715118408203, 72.13414764404297)",1,3.678558349609375,1,"(-32.799442291259766, 36.855220794677734, 595.567138671875)",1,"(0.5917730927467346, 0.2655550539493561)","(51.935394287109375, 225.82400512695312, 75.35623168945312)",1,3.5894317626953125,1,"(29.199241638183594, 42.704925537109375, 596.1481323242188)",1
1513662024,2902303056394,"(0.5904395580291748, 0.3010440766811371)","(51.194942474365234, 215.4081573486328, 71.56512451171875)",1,3.6861572265625,1,"(-32.77100372314453, 36.86199188232422, 595.549560546875)",1,"(0.5931310653686523, 0.2634260952472687)","(52.689388275146484, 226.44888305664062, 75.5835952758789)",1,3.58758544921875,1,"(29.22421646118164, 42.7049674987793, 596.13623046875)",1
1513678347,2902303072717,"(0.589844286441803, 0.30442002415657043)","(50.86441421508789, 214.41732788085938, 71.2044906616211)",1,3.687744140625,1,"(-32.74772262573242, 36.8482780456543, 595.4026489257812)",1,"(0.5937383770942688, 0.2618201971054077)","(53.026580810546875, 226.9202117919922, 75.755126953125)",1,3.5806121826171875,1,"(29.230228424072266, 42.699867248535156, 595.99951171875)",1
1513695185,2902303089555,"(0.5882357954978943, 0.3117790222167969)","(49.971229553222656, 212.2575225830078, 70.41836547851562)",1,3.676345825195313,1,"(-32.70878219604492, 36.841487884521484, 595.0968017578125)",1,"(0.5918774604797363, 0.26316630840301514)","(51.993309020996094, 226.52511596679688, 75.61137390136719)",1,3.5811309814453125,1,"(29.23653221130371, 42.67402267456055, 595.656494140625)",1
1513711944,2902303106314,"(0.586510419845581, 0.30304163694381714)","(49.01322555541992, 214.82188415527344, 71.35176849365234)",1,3.677825927734375,1,"(-32.66322708129883, 36.77134323120117, 594.7020263671875)",1,"(0.5909503102302551, 0.2673581540584564)","(51.47853088378906, 225.29483032226562, 75.16358184814453)",1,3.574203491210937,1,"(29.251771926879883, 42.6244010925293, 595.2888793945312)",1
1513728313,2902303122683,"(0.5850252509117126, 0.3035898506641388)","(48.18854522705078, 214.66094970703125, 71.29318237304688)",1,3.674758911132813,1,"(-32.6419792175293, 36.760284423828125, 594.5740966796875)",1,"(0.5924631357192993, 0.27038484811782837)","(52.318538665771484, 224.40652465820312, 74.84026336669922)",1,3.578231811523437,1,"(29.263444900512695, 42.59482955932617, 595.1452026367188)",1
1513745099,2902303139469,"(0.5873477458953857, 0.29222556948661804)","(49.47814178466797, 217.99632263183594, 72.5072021484375)",1,3.687667846679688,1,"(-32.631412506103516, 36.728797912597656, 594.43701171875)",1,"(0.5904515981674194, 0.26976367831230164)","(51.201576232910156, 224.58883666992188, 74.9066390991211)",1,3.5797576904296875,1,"(29.29237937927246, 42.55361557006836, 594.9954833984375)",1
1513761864,2902303156234,"(0.5870333909988403, 0.2970733046531677)","(49.303592681884766, 216.5735321044922, 71.98932647705078)",1,3.698196411132813,1,"(-32.63813018798828, 36.768638610839844, 594.3887329101562)",1,"(0.5907542109489441, 0.2676449120044708)","(51.36961364746094, 225.21066284179688, 75.13298797607422)",1,3.581405639648437,1,"(29.29405975341797, 42.55778884887695, 594.9569702148438)",1
1513778182,2902303172553,"(0.5872916579246521, 0.29839348793029785)","(49.44700622558594, 216.18606567382812, 71.84829711914062)",1,3.6951751708984375,1,"(-32.65214538574219, 36.7841796875, 594.3267822265625)",1,"(0.5921259522438049, 0.26665258407592773)","(52.13130187988281, 225.5019073486328, 75.2389907836914)",1,3.5722198486328125,1,"(29.283021926879883, 42.5708122253418, 594.8968505859375)",1
1513795015,2902303189386,"(0.5897054076194763, 0.2993832230567932)","(50.787261962890625, 215.89559936523438, 71.74253845214844)",1,3.6973876953125,1,"(-32.67888259887695, 36.814971923828125, 594.3416748046875)",1,"(0.59123694896698, 0.26497164368629456)","(51.63764190673828, 225.9952850341797, 75.41851806640625)",1,3.5735321044921875,1,"(29.271743774414062, 42.60332489013672, 594.91943359375)",1
1513811784,2902303206155,"(0.5906747579574585, 0.3052482604980469)","(51.32551574707031, 214.17425537109375, 71.11602783203125)",1,3.699432373046875,1,"(-32.689857482910156, 36.85249328613281, 594.3474731445312)",1,"(0.5917190313339233, 0.2644229531288147)","(51.90531539916992, 226.1562957763672, 75.47716522216797)",1,3.5816650390625,1,"(29.267736434936523, 42.63416290283203, 594.9275512695312)",1
1513828148,2902303222519,"(0.5891744494438171, 0.30507785081863403)","(50.492462158203125, 214.22425842285156, 71.13423156738281)",1,3.7040863037109375,1,"(-32.68415069580078, 36.86634826660156, 594.2941284179688)",1,"(0.5913305878639221, 0.2619674801826477)","(51.689666748046875, 226.87696838378906, 75.73949432373047)",1,3.59014892578125,1,"(29.26837921142578, 42.6436882019043, 594.8795166015625)",1
1513844931,2902303239302,"(0.5873366594314575, 0.3035801649093628)","(49.4720458984375, 214.663818359375, 71.2942123413086)",1,3.708831787109375,1,"(-32.65757369995117, 36.87284851074219, 594.1909790039062)",1,"(0.5911473035812378, 0.2637304663658142)","(51.587886810302734, 226.35955810546875, 75.55110168457031)",1,3.5896148681640625,1,"(29.280447006225586, 42.65839385986328, 594.76123046875)",1
