device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1248431756,2902037823869,"(0.556819498538971, 0.5372540354728699)","(32.5271110534668, 146.08148193359375, 46.332305908203125)",1,3.1825103759765625,1,"(-26.447093963623047, 57.85272216796875, 569.1528930664062)",1,"(0.5501391887664795, 0.5335829257965088)","(28.81785774230957, 147.15890502929688, 46.724449157714844)",1,3.087142944335937,1,"(35.43755340576172, 63.624515533447266, 569.258056640625)",1
1248448630,2902037840743,"(0.5908744931221008, 0.5178254842758179)","(51.436424255371094, 151.78366088867188, 48.40774154663086)",1,3.19378662109375,1,"(-26.291133880615234, 57.9611701965332, 569.1737060546875)",1,"(0.5738925337791443, 0.5191732048988342)","(42.00700759887695, 151.3881378173828, 48.26377487182617)",1,3.094482421875,1,"(35.57181167602539, 63.705810546875, 569.1973266601562)",1
1248464971,2902037857084,"(0.5928853154182434, 0.5167381167411804)","(52.55295181274414, 152.10276794433594, 48.52388381958008)",1,3.20721435546875,1,"(-26.30323600769043, 57.90652084350586, 568.7199096679688)",1,"(0.5763871669769287, 0.5204448699951172)","(43.39223098754883, 151.0148468017578, 48.12791061401367)",1,3.090057373046875,1,"(35.553768157958984, 63.66707229614258, 568.763427734375)",1
1248481672,2902037873785,"(0.594804048538208, 0.5122772455215454)","(53.618343353271484, 153.41204833984375, 49.000431060791016)",1,3.200286865234375,1,"(-26.37932586669922, 57.863868713378906, 568.7060546875)",1,"(0.5772629976272583, 0.5185968279838562)","(43.878509521484375, 151.55728149414062, 48.32534408569336)",1,3.0970916748046875,1,"(35.51962661743164, 63.63616943359375, 568.82080078125)",1
1248498560,2902037890673,"(0.5933866500854492, 0.5169591903686523)","(52.83130645751953, 152.0378875732422, 48.500267028808594)",1,3.2086334228515625,1,"(-26.46818733215332, 57.8569221496582, 569.038818359375)",1,"(0.5794264674186707, 0.5162740349769592)","(45.0798454284668, 152.23899841308594, 48.57347106933594)",1,3.098007202148437,1,"(35.49327850341797, 63.63473129272461, 569.135009765625)",1
1248514841,2902037906954,"(0.5947737097740173, 0.5173867344856262)","(53.60146713256836, 151.9123992919922, 48.454612731933594)",1,3.20220947265625,1,"(-26.523298263549805, 57.85540008544922, 569.2117309570312)",1,"(0.5795180797576904, 0.515329897403717)","(45.13068389892578, 152.51609802246094, 48.67430114746094)",1,3.108016967773437,1,"(35.470157623291016, 63.63561248779297, 569.3096313476562)",1
1248531587,2902037923701,"(0.5947592854499817, 0.5204797387123108)","(53.59347915649414, 151.00465393066406, 48.124176025390625)",1,3.218475341796875,1,"(-26.595590591430664, 57.8819694519043, 569.5827026367188)",1,"(0.5799331068992615, 0.5156733989715576)","(45.36112594604492, 152.415283203125, 48.63764190673828)",1,3.109725952148437,1,"(35.44938278198242, 63.68141555786133, 569.7344970703125)",1
1248548476,2902037940590,"(0.5962826609611511, 0.5163936614990234)","(54.439361572265625, 152.203857421875, 48.56068801879883)",1,3.2183990478515625,1,"(-26.654687881469727, 57.95167922973633, 570.0277709960938)",1,"(0.5801360011100769, 0.5165764093399048)","(45.473785400390625, 152.1502685546875, 48.541175842285156)",1,3.116729736328125,1,"(35.45806121826172, 63.7654914855957, 570.1354370117188)",1
1248564807,2902037956921,"(0.595936119556427, 0.5129488110542297)","(54.24691390991211, 153.21490478515625, 48.928680419921875)",1,3.2255859375,1,"(-26.675006866455078, 57.994407653808594, 570.277099609375)",1,"(0.5789781212806702, 0.5184897780418396)","(44.830867767333984, 151.5886993408203, 48.33676528930664)",1,3.127105712890625,1,"(35.46857452392578, 63.83056640625, 570.3866577148438)",1
1248581503,2902037973617,"(0.5959283113479614, 0.5119450092315674)","(54.24260711669922, 153.50953674316406, 49.03589630126953)",1,3.22998046875,1,"(-26.698062896728516, 58.04013442993164, 570.4912109375)",1,"(0.5809877514839172, 0.5176586508750916)","(45.94673156738281, 151.8326416015625, 48.42552185058594)",1,3.139999389648437,1,"(35.464508056640625, 63.893470764160156, 570.6216430664062)",1
