device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1446846942,2902236240763,"(0.5971451997756958, 0.22211594879627228)","(54.918270111083984, 238.57325744628906, 79.9965591430664)",1,3.4772186279296875,1,"(-28.20459747314453, 39.21227264404297, 600.690185546875)",1,"(0.6074573397636414, 0.19574391841888428)","(60.644168853759766, 246.3133087158203, 82.813720703125)",1,3.427337646484375,1,"(33.84872055053711, 46.69535827636719, 600.9434204101562)",1
1446863737,2902236257559,"(0.5981921553611755, 0.22649186849594116)","(55.4996223449707, 237.28892517089844, 79.52906799316406)",1,3.4769439697265625,1,"(-28.252233505249023, 39.16084289550781, 600.3888549804688)",1,"(0.6054509282112122, 0.19408197700977325)","(59.530086517333984, 246.8011016845703, 82.99128723144531)",1,3.4311981201171875,1,"(33.76780319213867, 46.62104034423828, 600.6011962890625)",1
1446880576,2902236274398,"(0.5975580811500549, 0.22611616551876068)","(55.147491455078125, 237.3992156982422, 79.5691909790039)",1,3.4810943603515625,1,"(-28.2841739654541, 39.12038040161133, 600.04638671875)",1,"(0.6068440079689026, 0.19939720630645752)","(60.3036003112793, 245.2411346435547, 82.42342376708984)",1,3.4332427978515625,1,"(33.70563888549805, 46.59367370605469, 600.2989501953125)",1
1446896908,2902236290730,"(0.5969073176383972, 0.2259145826101303)","(54.78618621826172, 237.45834350585938, 79.59074401855469)",1,3.476165771484375,1,"(-28.29841423034668, 39.125179290771484, 600.012939453125)",1,"(0.6068844199180603, 0.20130659639835358)","(60.3260498046875, 244.6807403564453, 82.21942901611328)",1,3.437652587890625,1,"(33.68312072753906, 46.60606002807617, 600.2662963867188)",1
1446913653,2902236307475,"(0.5966829061508179, 0.226434126496315)","(54.661598205566406, 237.30587768554688, 79.5352783203125)",1,3.485504150390625,1,"(-28.297121047973633, 39.15322494506836, 600.0892944335938)",1,"(0.6087217330932617, 0.1976807862520218)","(61.34617233276367, 245.74488830566406, 82.60678100585938)",1,3.4338836669921875,1,"(33.689430236816406, 46.639923095703125, 600.3589477539062)",1
1446930496,2902236324318,"(0.5963075160980225, 0.22620601952075958)","(54.4531364440918, 237.37281799316406, 79.55965423583984)",1,3.485504150390625,1,"(-28.26032066345215, 39.1746711730957, 600.2730712890625)",1,"(0.6078963875770569, 0.19864952564239502)","(60.887916564941406, 245.46054077148438, 82.50334930419922)",1,3.44622802734375,1,"(33.73907470703125, 46.66213607788086, 600.5219116210938)",1
1446946776,2902236340598,"(0.5959190130233765, 0.22735090553760529)","(54.2374153137207, 237.0367889404297, 79.43734741210938)",1,3.4874420166015625,1,"(-28.22694969177246, 39.1776237487793, 600.3577880859375)",1,"(0.604721188545227, 0.19884523749351501)","(59.124839782714844, 245.40309143066406, 82.48242950439453)",1,3.451644897460937,1,"(33.79627990722656, 46.67043685913086, 600.6094970703125)",1
1446963569,2902236357392,"(0.5974482893943787, 0.2291111946105957)","(55.0865592956543, 236.52015686035156, 79.24929809570312)",1,3.495223999023437,1,"(-28.152917861938477, 39.16612243652344, 600.2294311523438)",1,"(0.6088125705718994, 0.19934216141700745)","(61.39662170410156, 245.2572479248047, 82.4293212890625)",1,3.451751708984375,1,"(33.8468132019043, 46.65302276611328, 600.4430541992188)",1
1446980416,2902236374239,"(0.5966759324073792, 0.22860851883888245)","(54.65772247314453, 236.66770935058594, 79.30298614501953)",1,3.4957733154296875,1,"(-28.07776641845703, 39.126224517822266, 599.957275390625)",1,"(0.6086229681968689, 0.20153716206550598)","(61.29144287109375, 244.61302185058594, 82.19483947753906)",1,3.452392578125,1,"(33.87389373779297, 46.61732482910156, 600.190185546875)",1
1446996742,2902236390565,"(0.5978196263313293, 0.23069369792938232)","(55.292747497558594, 236.05567932128906, 79.08023834228516)",1,3.487640380859375,1,"(-28.05653190612793, 39.103031158447266, 599.9111328125)",1,"(0.6079365015029907, 0.202605739235878)","(60.91020584106445, 244.29942321777344, 82.0806655883789)",1,3.454315185546875,1,"(33.880340576171875, 46.601104736328125, 600.130126953125)",1
