device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1218465237,2902007857122,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)",0
1218496743,2902007888627,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)",0
1218513385,2902007905268,"(0.5180274844169617, 0.36761122941970825)","(10.987598419189453, 195.87095642089844, 64.45414733886719)",1,4.856369018554688,1,"(-29.617162704467773, 66.07312774658203, 600.6139526367188)",1,"(0.5268675088882446, 0.36421099305152893)","(15.896140098571777, 196.868896484375, 64.81741333007812)",1,4.893951416015625,1,"(33.45501708984375, 72.2777099609375, 599.690673828125)",1
1218529975,2902007921858,"(0.5190837979316711, 0.37412017583847046)","(11.574089050292969, 193.9606170654297, 63.75889205932617)",1,4.7391357421875,1,"(-29.56086540222168, 65.90205383300781, 598.6165771484375)",1,"(0.529227614402771, 0.3672003149986267)","(17.206571578979492, 195.99156188964844, 64.4980697631836)",1,4.744308471679688,1,"(33.301334381103516, 72.05831909179688, 597.3883056640625)",1
1218546665,2902007938548,"(0.5167592763900757, 0.3843716084957123)","(10.283434867858887, 190.95187377929688, 62.663780212402344)",1,4.613494873046875,1,"(-29.343549728393555, 65.31957244873047, 592.7750244140625)",1,"(0.5297307968139648, 0.3798598051071167)","(17.485929489135742, 192.27603149414062, 63.14577102661133)",1,4.645751953125,1,"(33.00403594970703, 71.53752136230469, 592.575927734375)",1
1218563255,2902007955148,"(0.5152968764305115, 0.38584375381469727)","(9.471420288085938, 190.51979064941406, 62.506507873535156)",1,4.558151245117188,1,"(-29.359724044799805, 65.2803955078125, 591.9701538085938)",1,"(0.5287883281707764, 0.38112494349479675)","(16.9626407623291, 191.90472412109375, 63.0106201171875)",1,4.5860137939453125,1,"(32.950477600097656, 71.52963256835938, 592.101806640625)",1
1218579794,2902007971699,"(0.4919396936893463, 0.36092227697372437)","(-3.49780011177063, 197.83413696289062, 65.16867065429688)",1,4.5,1,"(-29.523691177368164, 65.35718536376953, 591.8662719726562)",1,"(0.5098428726196289, 0.34216931462287903)","(6.443047046661377, 203.33804321289062, 67.17198181152344)",1,4.519195556640625,1,"(32.74597930908203, 71.6465072631836, 592.1659545898438)",1
1218596585,2902007988504,"(0.4144143760204315, 0.2660551369190216)","(-46.54425811767578, 225.67724609375, 75.30280303955078)",1,4.427978515625,1,"(-30.040346145629883, 65.78053283691406, 593.736328125)",1,"(0.43921414017677307, 0.2661519944667816)","(-32.77402114868164, 225.64881896972656, 75.29243469238281)",1,4.468795776367188,1,"(32.33460235595703, 72.04759979248047, 593.9192504882812)",1
1218613125,2902008005046,"(0.3855883479118347, 0.23942844569683075)","(-62.55012130737305, 233.4920654296875, 78.14717102050781)",1,4.371185302734375,1,"(-30.198423385620117, 65.70889282226562, 592.5474243164062)",1,"(0.40143314003944397, 0.24168884754180908)","(-53.75218963623047, 232.82867431640625, 77.90568542480469)",1,4.415313720703125,1,"(32.00471115112305, 72.00130462646484, 593.14599609375)",1
1218629612,2902008021535,"(0.3831266462802887, 0.24640478193759918)","(-63.916988372802734, 231.44454956054688, 77.40193939208984)",1,4.3038177490234375,1,"(-30.404579162597656, 65.74097442626953, 593.0736694335938)",1,"(0.39772188663482666, 0.23263856768608093)","(-55.812889099121094, 235.48489379882812, 78.87246704101562)",1,4.372039794921875,1,"(31.903228759765625, 72.0086669921875, 593.7550048828125)",1
1218646511,2902008038436,"(0.3819182217121124, 0.24770979583263397)","(-64.58798217773438, 231.06153869628906, 77.26251983642578)",1,4.2344818115234375,1,"(-30.433218002319336, 65.48965454101562, 591.5835571289062)",1,"(0.39923691749572754, 0.23352327942848206)","(-54.97165298461914, 235.2252197265625, 78.7779769897461)",1,4.294586181640625,1,"(31.744537353515625, 71.76164245605469, 592.3231811523438)",1
1218662994,2902008054915,"(0.3833503723144531, 0.252654105424881)","(-63.792781829833984, 229.61041259765625, 76.73433685302734)",1,4.19439697265625,1,"(-30.42939567565918, 65.3536376953125, 590.7835693359375)",1,"(0.39510151743888855, 0.24011088907718658)","(-57.26788330078125, 233.2917938232422, 78.07424926757812)",1,4.23724365234375,1,"(31.681840896606445, 71.64605712890625, 591.5078125)",1
1218679432,2902008071348,"(0.3715131878852844, 0.22359097003936768)","(-70.3654556274414, 238.1403350830078, 79.83898162841797)",1,4.15374755859375,1,"(-30.3962345123291, 65.26248931884766, 590.112548828125)",1,"(0.39070916175842285, 0.2092648595571518)","(-59.706748962402344, 242.34500122070312, 81.36931610107422)",1,4.17730712890625,1,"(31.57832908630371, 71.57984161376953, 590.799560546875)",1
1218696425,2902008088336,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)",0,"(0.37080714106559753, 0.15058529376983643)","(-70.75748443603516, 259.56719970703125, 87.63773345947266)",1,4.1212005615234375,1,"(31.51397132873535, 71.71845245361328, 591.409423828125)",1
1218712864,2902008104776,"(0.3465443551540375, 0.14250318706035614)","(-84.22957611083984, 261.93927001953125, 88.50110626220703)",1,4.10968017578125,1,"(-30.303863525390625, 65.3032455444336, 589.8128051757812)",1,"(0.36768919229507446, 0.15483249723911285)","(-72.48876190185547, 258.3206787109375, 87.18403625488281)",1,4.088348388671875,1,"(31.538009643554688, 71.69456481933594, 591.0592651367188)",1
1218729347,2902008121260,"(0.3491584062576294, 0.15753573179244995)","(-82.77811431884766, 257.5272521972656, 86.89527130126953)",1,4.0818939208984375,1,"(-30.24980926513672, 65.35868072509766, 589.609375)",1,"(0.37095966935157776, 0.15613223612308502)","(-70.67281341552734, 257.939208984375, 87.04518127441406)",1,4.033782958984375,1,"(31.59104347229004, 71.65811920166016, 590.2677001953125)",1
1218746345,2902008138259,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)",0,"(0.37170785665512085, 0.15436604619026184)","(-70.25737762451172, 258.4575500488281, 87.23381805419922)",1,3.977951049804688,1,"(31.62788200378418, 71.72480773925781, 590.1487426757812)",1
1218762732,2902008154615,"(0.34694162011146545, 0.17157429456710815)","(-84.00897979736328, 253.40701293945312, 85.39556884765625)",1,3.970748901367188,1,"(-30.133811950683594, 65.56842041015625, 589.64404296875)",1,"(0.37294161319732666, 0.15472550690174103)","(-69.57230377197266, 258.3520812988281, 87.1954345703125)",1,3.948928833007813,1,"(31.625173568725586, 71.78521728515625, 590.17333984375)",1
