device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1523695995,2902313090449,"(0.44054457545280457, 0.5422596335411072)","(-32.03530502319336, 144.6123046875, 45.79761505126953)",1,3.50732421875,1,"(-33.27399826049805, 37.06658935546875, 597.6399536132812)",1,"(0.4451403021812439, 0.5086897611618042)","(-29.483469009399414, 154.46498107910156, 49.38362503051758)",1,3.55072021484375,1,"(28.70634651184082, 42.91808319091797, 598.260009765625)",1
1523712336,2902313106790,"(0.44022393226623535, 0.5432446002960205)","(-32.21333312988281, 144.3232421875, 45.692413330078125)",1,3.511688232421875,1,"(-33.26872253417969, 37.06947708129883, 597.5791625976562)",1,"(0.44631966948509216, 0.5087167620658875)","(-28.82862663269043, 154.45703125, 49.38072204589844)",1,3.543121337890625,1,"(28.721832275390625, 42.91582107543945, 598.2039184570312)",1
1523729053,2902313123508,"(0.4399251639842987, 0.540126383304596)","(-32.37923812866211, 145.23846435546875, 46.025428771972656)",1,3.4991607666015625,1,"(-33.26981735229492, 37.06717300415039, 597.5404052734375)",1,"(0.44508105516433716, 0.5064191222190857)","(-29.516395568847656, 155.13140869140625, 49.626155853271484)",1,3.529281616210937,1,"(28.740461349487305, 42.90504455566406, 598.1690673828125)",1
1523745915,2902313140370,"(0.4411579370498657, 0.5351157188415527)","(-31.69472312927246, 146.70904541015625, 46.56069564819336)",1,3.491790771484375,1,"(-33.298919677734375, 37.055145263671875, 597.6390991210938)",1,"(0.4439059793949127, 0.5138313174247742)","(-30.168861389160156, 152.95591735839844, 48.834381103515625)",1,3.5432891845703125,1,"(28.74388885498047, 42.896583557128906, 598.2604370117188)",1
1523762205,2902313156660,"(0.43920081853866577, 0.5322745442390442)","(-32.781436920166016, 147.5429229736328, 46.864219665527344)",1,3.4920654296875,1,"(-33.32676696777344, 37.037784576416016, 597.7127075195312)",1,"(0.4434671401977539, 0.5074283480644226)","(-30.41252899169922, 154.8351593017578, 49.51839065551758)",1,3.5355224609375,1,"(28.73382568359375, 42.89174270629883, 598.3350219726562)",1
1523778969,2902313173424,"(0.44141489267349243, 0.5395824313163757)","(-31.55206298828125, 145.39808654785156, 46.08353805541992)",1,3.51141357421875,1,"(-33.39399337768555, 37.0066032409668, 597.80712890625)",1,"(0.4428861737251282, 0.513684093952179)","(-30.7351016998291, 152.99913024902344, 48.850154876708984)",1,3.5513458251953125,1,"(28.696666717529297, 42.874732971191406, 598.441650390625)",1
1523795835,2902313190290,"(0.44019514322280884, 0.5479745864868164)","(-32.229312896728516, 142.93502807617188, 45.18707275390625)",1,3.5186004638671875,1,"(-33.47507095336914, 36.97270202636719, 597.8421020507812)",1,"(0.4456428289413452, 0.5164823532104492)","(-29.204456329345703, 152.1778564453125, 48.551185607910156)",1,3.545166015625,1,"(28.625194549560547, 42.85086441040039, 598.48095703125)",1
1523812171,2902313206626,"(0.44059351086616516, 0.5500748753547668)","(-32.008155822753906, 142.31858825683594, 44.962730407714844)",1,3.524642944335937,1,"(-33.522335052490234, 36.956668853759766, 597.859130859375)",1,"(0.4464591145515442, 0.5114457607269287)","(-28.75120735168457, 153.6560821533203, 49.0892219543457)",1,3.540435791015625,1,"(28.574249267578125, 42.831626892089844, 598.500732421875)",1
1523828885,2902313223340,"(0.4394684135913849, 0.5444015860557556)","(-32.63282775878906, 143.98367309570312, 45.56877517700195)",1,3.5111236572265625,1,"(-33.602508544921875, 36.9263916015625, 597.9588623046875)",1,"(0.4446258246898651, 0.5097911953926086)","(-29.7691707611084, 154.14169311523438, 49.26598358154297)",1,3.5446014404296875,1,"(28.51824951171875, 42.81526184082031, 598.6146850585938)",1
1523845755,2902313240211,"(0.44050484895706177, 0.5401676893234253)","(-32.05738067626953, 145.22630310058594, 46.02109146118164)",1,3.519027709960937,1,"(-33.674713134765625, 36.89356994628906, 598.0287475585938)",1,"(0.44456279277801514, 0.5140566229820251)","(-29.804166793823242, 152.88978576660156, 48.810325622558594)",1,3.542144775390625,1,"(28.47458839416504, 42.806976318359375, 598.685791015625)",1
