device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1352481902,2902141874888,"(0.3742259740829468, 0.25426340103149414)","(-68.85917663574219, 229.13807678222656, 76.56243896484375)",1,3.8895263671875,1,"(-32.71205520629883, 50.467960357666016, 584.8223266601562)",1,"(0.382321298122406, 0.2066652923822403)","(-64.36418914794922, 243.10794067382812, 81.64703369140625)",1,3.7606048583984375,1,"(29.063047409057617, 58.32450866699219, 585.752197265625)",1
1352498284,2902141891270,"(0.3770845830440521, 0.2538394033908844)","(-67.27189636230469, 229.2625274658203, 76.60772705078125)",1,3.886932373046875,1,"(-32.673152923583984, 50.4548454284668, 584.7078247070312)",1,"(0.3785672187805176, 0.20933552086353302)","(-66.44864654541016, 242.3242645263672, 81.3617935180664)",1,3.761306762695313,1,"(29.116533279418945, 58.30423355102539, 585.6414794921875)",1
1352514906,2902141907892,"(0.3763660788536072, 0.25287285447120667)","(-67.67083740234375, 229.54617309570312, 76.71099090576172)",1,3.88818359375,1,"(-32.63032913208008, 50.41320037841797, 584.4337768554688)",1,"(0.3785398006439209, 0.21514135599136353)","(-66.4638671875, 240.62025451660156, 80.74162292480469)",1,3.76849365234375,1,"(29.13495445251465, 58.24738311767578, 585.32470703125)",1
1352531822,2902141924808,"(0.3777441084384918, 0.258489727973938)","(-66.90567779541016, 227.89768981933594, 76.11096954345703)",1,3.889572143554688,1,"(-32.65067672729492, 50.33415222167969, 583.9273071289062)",1,"(0.38033050298690796, 0.21792742609977722)","(-65.46956634521484, 239.80252075195312, 80.44401550292969)",1,3.7770843505859375,1,"(29.073192596435547, 58.15050506591797, 584.8609619140625)",1
1352548154,2902141941140,"(0.37712010741233826, 0.25815466046333313)","(-67.25218963623047, 227.9960174560547, 76.1467514038086)",1,3.8853759765625,1,"(-32.67710876464844, 50.29238510131836, 583.6522216796875)",1,"(0.38208797574043274, 0.21405407786369324)","(-64.49372863769531, 240.93936157226562, 80.85778045654297)",1,3.765213012695313,1,"(29.010353088378906, 58.08518981933594, 584.591552734375)",1
1352564821,2902141957807,"(0.37632647156715393, 0.25766029953956604)","(-67.69283294677734, 228.14111328125, 76.19956970214844)",1,3.894241333007813,1,"(-32.7353401184082, 50.221038818359375, 583.4462890625)",1,"(0.38086098432540894, 0.2125341147184372)","(-65.17501831054688, 241.38548278808594, 81.02009582519531)",1,3.7795562744140634,1,"(28.921443939208984, 57.99634552001953, 584.3599853515625)",1
1352581742,2902141974728,"(0.3751842677593231, 0.2534523904323578)","(-68.3270492553711, 229.37611389160156, 76.64909362792969)",1,3.891525268554688,1,"(-32.7877197265625, 50.14152145385742, 583.1337890625)",1,"(0.3804628252983093, 0.21430593729019165)","(-65.3960952758789, 240.86544799804688, 80.83082580566406)",1,3.787200927734375,1,"(28.84596824645996, 57.928348541259766, 584.0859985351562)",1
1352598120,2902141991107,"(0.3745107650756836, 0.2563718855381012)","(-68.70104217529297, 228.51922607421875, 76.33721923828125)",1,3.894195556640625,1,"(-32.80262756347656, 50.123355865478516, 582.9935302734375)",1,"(0.38243430852890015, 0.2116711586713791)","(-64.30142211914062, 241.63873291015625, 81.11228942871094)",1,3.785476684570313,1,"(28.799821853637695, 57.90403747558594, 583.9328002929688)",1
1352614737,2902142007724,"(0.37508752942085266, 0.2589374780654907)","(-68.38078308105469, 227.76626586914062, 76.06311798095703)",1,3.890060424804688,1,"(-32.82126235961914, 50.154659271240234, 582.90771484375)",1,"(0.38088861107826233, 0.2133873850107193)","(-65.1596908569336, 241.1350555419922, 80.92896270751953)",1,3.784500122070313,1,"(28.768922805786133, 57.97317886352539, 583.844482421875)",1
1352631657,2902142024644,"(0.3752206563949585, 0.25862255692481995)","(-68.3068618774414, 227.85870361328125, 76.09677124023438)",1,3.897857666015625,1,"(-32.82941818237305, 50.24812698364258, 583.0531616210938)",1,"(0.3815036714076996, 0.21553383767604828)","(-64.81818389892578, 240.5050506591797, 80.69966125488281)",1,3.7888336181640634,1,"(28.77318572998047, 58.08638000488281, 583.9816284179688)",1
1352647988,2902142040975,"(0.37708500027656555, 0.2603045403957367)","(-67.27167510986328, 227.3650665283203, 75.91710662841797)",1,3.9001312255859375,1,"(-32.824302673339844, 50.29217529296875, 583.112548828125)",1,"(0.38195210695266724, 0.21245929598808289)","(-64.56916809082031, 241.40740966796875, 81.02809143066406)",1,3.7989349365234375,1,"(28.78664207458496, 58.13788604736328, 584.065185546875)",1
1352664651,2902142057638,"(0.37540027499198914, 0.2599776089191437)","(-68.20711517333984, 227.46099853515625, 75.9520034790039)",1,3.90447998046875,1,"(-32.79153823852539, 50.3177375793457, 583.12939453125)",1,"(0.3799344599246979, 0.21378952264785767)","(-65.68948364257812, 241.0170135498047, 80.8860092163086)",1,3.793792724609375,1,"(28.8330020904541, 58.18596649169922, 584.0765380859375)",1
1352681577,2902142074564,"(0.3776106834411621, 0.26065075397491455)","(-66.9797592163086, 227.26341247558594, 75.88009643554688)",1,3.9078216552734375,1,"(-32.76641082763672, 50.322811126708984, 583.1715698242188)",1,"(0.38033387064933777, 0.21213893592357635)","(-65.46772003173828, 241.50143432617188, 81.06230926513672)",1,3.80267333984375,1,"(28.877504348754883, 58.169734954833984, 584.1036987304688)",1
1352697954,2902142090941,"(0.37786105275154114, 0.257683128118515)","(-66.84075164794922, 228.13441467285156, 76.19710540771484)",1,3.909698486328125,1,"(-32.73469161987305, 50.30035400390625, 583.0386962890625)",1,"(0.3816451132297516, 0.21279822289943695)","(-64.73963928222656, 241.3079376220703, 80.99187469482422)",1,3.8077392578125,1,"(28.898834228515625, 58.13538360595703, 583.9943237304688)",1
1352714567,2902142107555,"(0.3786599338054657, 0.2595108151435852)","(-66.39717102050781, 227.59799194335938, 76.00186920166016)",1,3.91009521484375,1,"(-32.68562316894531, 50.262306213378906, 582.7698364257812)",1,"(0.38285619020462036, 0.2135734260082245)","(-64.0671615600586, 241.0804443359375, 80.9090805053711)",1,3.8079986572265625,1,"(28.9362850189209, 58.06397247314453, 583.6994018554688)",1
