device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1437129366,2902226523096,"(0.4412952661514282, 0.3519207537174225)","(-31.61849594116211, 200.47604370117188, 66.13031005859375)",1,3.5478057861328125,1,"(-31.492311477661133, 41.276607513427734, 589.3418579101562)",1,"(0.44346699118614197, 0.31638866662979126)","(-30.41260528564453, 210.90455627441406, 69.92594146728516)",1,3.480560302734375,1,"(30.587779998779297, 47.933494567871094, 589.8872680664062)",1
1437146167,2902226539897,"(0.4436825215816498, 0.3521386981010437)","(-30.29292106628418, 200.41209411621094, 66.10702514648438)",1,3.550765991210937,1,"(-31.54057502746582, 41.251808166503906, 589.2098999023438)",1,"(0.4458469748497009, 0.31618717312812805)","(-29.09111976623535, 210.96371459960938, 69.94747924804688)",1,3.48834228515625,1,"(30.534189224243164, 47.909305572509766, 589.7697143554688)",1
1437162521,2902226556251,"(0.44338834285736084, 0.3546125292778015)","(-30.45625877380371, 199.68603515625, 65.84273529052734)",1,3.54620361328125,1,"(-31.545541763305664, 41.232566833496094, 589.0079345703125)",1,"(0.4468032419681549, 0.3208065330982208)","(-28.560144424438477, 209.60792541503906, 69.45405578613281)",1,3.4784698486328125,1,"(30.50344467163086, 47.89031219482422, 589.5844116210938)",1
1437179280,2902226573011,"(0.4425612986087799, 0.35647183656692505)","(-30.9155216217041, 199.1403350830078, 65.64413452148438)",1,3.5399627685546875,1,"(-31.532209396362305, 41.21166229248047, 588.7462768554688)",1,"(0.4453637897968292, 0.3215121030807495)","(-29.359416961669922, 209.40086364746094, 69.3786849975586)",1,3.467391967773437,1,"(30.488372802734375, 47.8691291809082, 589.29150390625)",1
1437196082,2902226589813,"(0.44153615832328796, 0.3590698540210724)","(-31.48472785949707, 198.37782287597656, 65.36659240722656)",1,3.550811767578125,1,"(-31.485078811645508, 41.215518951416016, 588.531005859375)",1,"(0.44522324204444885, 0.32279840111732483)","(-29.43744659423828, 209.02334594726562, 69.24122619628906)",1,3.46490478515625,1,"(30.509855270385742, 47.87821960449219, 589.0946044921875)",1
1437212391,2902226606122,"(0.4407714903354645, 0.35851335525512695)","(-31.90931510925293, 198.54112243652344, 65.42604064941406)",1,3.557647705078125,1,"(-31.44674301147461, 41.220909118652344, 588.4021606445312)",1,"(0.44391873478889465, 0.32446080446243286)","(-30.161762237548828, 208.53541564941406, 69.06365966796875)",1,3.465194702148437,1,"(30.534894943237305, 47.883514404296875, 588.9623413085938)",1
1437229196,2902226622927,"(0.4405739903450012, 0.35736382007598877)","(-32.01897048950195, 198.87847900390625, 65.54887390136719)",1,3.54754638671875,1,"(-31.389934539794922, 41.22382736206055, 588.1823120117188)",1,"(0.4450446665287018, 0.3261898458003998)","(-29.536605834960938, 208.02796936035156, 68.87895202636719)",1,3.47015380859375,1,"(30.565570831298828, 47.8803825378418, 588.721923828125)",1
1437246002,2902226639733,"(0.44092702865600586, 0.3549194633960724)","(-31.82294464111328, 199.595947265625, 65.8099365234375)",1,3.554168701171875,1,"(-31.351957321166992, 41.22638702392578, 588.1378173828125)",1,"(0.4441947638988495, 0.32601043581962585)","(-30.008502960205078, 208.0806121826172, 68.89813232421875)",1,3.47210693359375,1,"(30.59517478942871, 47.87606430053711, 588.6885986328125)",1
1437262357,2902226656088,"(0.4413270056247711, 0.35525619983673096)","(-31.600831985473633, 199.49710083007812, 65.7739486694336)",1,3.556747436523437,1,"(-31.353212356567383, 41.24457550048828, 588.2608642578125)",1,"(0.4459472894668579, 0.32616353034973145)","(-29.0354061126709, 208.03565979003906, 68.88180541992188)",1,3.466659545898437,1,"(30.60303497314453, 47.88562774658203, 588.796875)",1
1437279112,2902226672844,"(0.44156160950660706, 0.3544778525829315)","(-31.4705753326416, 199.7255401611328, 65.85711669921875)",1,3.560699462890625,1,"(-31.37334442138672, 41.27752685546875, 588.4767456054688)",1,"(0.4454483687877655, 0.32718798518180847)","(-29.312440872192383, 207.73500061035156, 68.77236938476562)",1,3.470245361328125,1,"(30.604267120361328, 47.92490005493164, 589.0369873046875)",1
1437295922,2902226689654,"(0.43988415598869324, 0.35392069816589355)","(-32.40199279785156, 199.8890380859375, 65.91668701171875)",1,3.558456420898437,1,"(-31.405019760131836, 41.307456970214844, 588.6375732421875)",1,"(0.44449588656425476, 0.326872318983078)","(-29.8413143157959, 207.82763671875, 68.80606842041016)",1,3.478271484375,1,"(30.584211349487305, 47.95388412475586, 589.1856689453125)",1
1437312226,2902226705958,"(0.43970105051994324, 0.35323566198349)","(-32.503684997558594, 200.09010314941406, 65.98989868164062)",1,3.5670166015625,1,"(-31.419097900390625, 41.311683654785156, 588.6834106445312)",1,"(0.44302284717559814, 0.3243856728076935)","(-30.65924072265625, 208.5574951171875, 69.07168579101562)",1,3.48516845703125,1,"(30.56944465637207, 47.965030670166016, 589.2401123046875)",1
1437329027,2902226722759,"(0.4393460154533386, 0.35216715931892395)","(-32.7008056640625, 200.40371704101562, 66.10400390625)",1,3.57183837890625,1,"(-31.4293270111084, 41.310211181640625, 588.7050170898438)",1,"(0.44306012988090515, 0.3248072862625122)","(-30.638521194458008, 208.43374633789062, 69.02664184570312)",1,3.4815826416015625,1,"(30.56023597717285, 47.97153854370117, 589.255859375)",1
1437345842,2902226739574,"(0.43960174918174744, 0.3511830270290375)","(-32.55883026123047, 200.6925506591797, 66.20911407470703)",1,3.57635498046875,1,"(-31.40683937072754, 41.2943229675293, 588.5484619140625)",1,"(0.4434146285057068, 0.3275561034679413)","(-30.441692352294922, 207.6269989013672, 68.73301696777344)",1,3.4834136962890625,1,"(30.561887741088867, 47.9677848815918, 589.114501953125)",1
1437362192,2902226755924,"(0.4404478371143341, 0.3538591265678406)","(-32.08902359008789, 199.90716552734375, 65.9232177734375)",1,3.5782623291015625,1,"(-31.403785705566406, 41.2912712097168, 588.5557250976562)",1,"(0.4417191743850708, 0.32736167311668396)","(-31.383113861083984, 207.6840362548828, 68.75377655029297)",1,3.483749389648437,1,"(30.567861557006836, 47.965110778808594, 589.1106567382812)",1
1437378943,2902226772675,"(0.43985575437545776, 0.35368484258651733)","(-32.41776657104492, 199.95828247070312, 65.94184112548828)",1,3.5809478759765625,1,"(-31.40004539489746, 41.286014556884766, 588.61328125)",1,"(0.4411357343196869, 0.32900476455688477)","(-31.70707130432129, 207.20181274414062, 68.5782470703125)",1,3.4891815185546875,1,"(30.5787296295166, 47.968345642089844, 589.1768798828125)",1
1437395762,2902226789495,"(0.43809860944747925, 0.3527836501598358)","(-33.3934440612793, 200.2227783203125, 66.03813934326172)",1,3.583969116210937,1,"(-31.411041259765625, 41.278343200683594, 588.66650390625)",1,"(0.4421604573726654, 0.3272353708744049)","(-31.13807487487793, 207.7211151123047, 68.76726531982422)",1,3.4941558837890625,1,"(30.565061569213867, 47.96788787841797, 589.222412109375)",1
1437412062,2902226805795,"(0.43922796845436096, 0.3536796271800995)","(-32.76634979248047, 199.95982360839844, 65.94242095947266)",1,3.5859832763671875,1,"(-31.433610916137695, 41.268836975097656, 588.7053833007812)",1,"(0.44216102361679077, 0.32910796999931335)","(-31.137737274169922, 207.1715087890625, 68.5672378540039)",1,3.49371337890625,1,"(30.55247688293457, 47.963043212890625, 589.2662353515625)",1
1437428857,2902226822590,"(0.43918728828430176, 0.35431721806526184)","(-32.78894805908203, 199.77268981933594, 65.87433624267578)",1,3.5924224853515625,1,"(-31.48002052307129, 41.23775100708008, 588.7408447265625)",1,"(0.44337841868400574, 0.33103707432746887)","(-30.4617919921875, 206.60531616210938, 68.3611831665039)",1,3.5016326904296875,1,"(30.495397567749023, 47.9239387512207, 589.308349609375)",1
1437445682,2902226839415,"(0.41123834252357483, 0.3127489984035492)","(-48.307762145996094, 211.9727783203125, 70.31480407714844)",1,3.62152099609375,1,"(-31.621713638305664, 41.24599838256836, 588.70556640625)",1,"(0.4240102767944336, 0.28588998317718506)","(-41.21607208251953, 219.85581970214844, 73.1839370727539)",1,3.505233764648437,1,"(30.321008682250977, 47.94593048095703, 589.2757568359375)",1
1437462028,2902226855761,"(0.37624096870422363, 0.2509450912475586)","(-67.74030303955078, 230.11199951171875, 76.91690826416016)",1,3.636016845703125,1,"(-31.760540008544922, 41.38102340698242, 588.8544311523438)",1,"(0.3936733901500702, 0.21838906407356262)","(-58.060829162597656, 239.66708374023438, 80.39462280273438)",1,3.5281219482421875,1,"(30.1075496673584, 48.05417251586914, 589.39599609375)",1
1437478773,2902226872506,"(0.35023677349090576, 0.1766003519296646)","(-82.17932891845703, 251.931884765625, 84.85868835449219)",1,3.621871948242188,1,"(-31.94147300720215, 41.56660079956055, 589.6015625)",1,"(0.3587225377559662, 0.15438486635684967)","(-77.46754455566406, 258.45208740234375, 87.23182678222656)",1,3.538330078125,1,"(29.877635955810547, 48.25564956665039, 590.2144165039062)",1
1437495602,2902226889335,"(0.3508465588092804, 0.18506474792957306)","(-81.84075164794922, 249.4476318359375, 83.9544677734375)",1,3.6318206787109375,1,"(-31.98849105834961, 41.54826736450195, 589.6183471679688)",1,"(0.35893914103507996, 0.16106553375720978)","(-77.34728240966797, 256.4913024902344, 86.51817321777344)",1,3.5475006103515625,1,"(29.89641571044922, 48.24746322631836, 590.2432250976562)",1
1437511896,2902226905630,"(0.34989020228385925, 0.18671025335788727)","(-82.37178039550781, 248.96469116210938, 83.77870178222656)",1,3.6401519775390634,1,"(-32.004638671875, 41.55223846435547, 589.8453369140625)",1,"(0.3592887222766876, 0.1556689441204071)","(-77.15316772460938, 258.0751953125, 87.09466552734375)",1,3.54449462890625,1,"(29.92354965209961, 48.26282501220703, 590.4666137695312)",1
1437528689,2902226922423,"(0.35112327337265015, 0.1853134036064148)","(-81.68710327148438, 249.37464904785156, 83.9279556274414)",1,3.631072998046875,1,"(-31.989728927612305, 41.525367736816406, 589.7576293945312)",1,"(0.35628044605255127, 0.15636257827281952)","(-78.82351684570312, 257.87158203125, 87.02056884765625)",1,3.54852294921875,1,"(29.953977584838867, 48.26124954223633, 590.3660888671875)",1
1437545527,2902226939261,"(0.35036152601242065, 0.1809571236371994)","(-82.11005401611328, 250.65318298339844, 84.39328002929688)",1,3.619354248046875,1,"(-31.96042251586914, 41.49722671508789, 589.7127685546875)",1,"(0.3548673093318939, 0.1570056527853012)","(-79.60820007324219, 257.682861328125, 86.95186614990234)",1,3.539764404296875,1,"(29.987131118774414, 48.25994873046875, 590.32421875)",1
1437561862,2902226955596,"(0.3509366810321808, 0.1823810636997223)","(-81.79069519042969, 250.23524475097656, 84.24116516113281)",1,3.613967895507813,1,"(-31.95345687866211, 41.49625778198242, 589.7718505859375)",1,"(0.3559955656528473, 0.15691576898097992)","(-78.98171997070312, 257.7092590332031, 86.96147155761719)",1,3.534515380859375,1,"(30.009599685668945, 48.26136779785156, 590.3775634765625)",1
1437578604,2902226972338,"(0.3488841652870178, 0.18319059908390045)","(-82.93037414550781, 249.99766540527344, 84.15469360351562)",1,3.6124114990234375,1,"(-31.93663787841797, 41.499107360839844, 589.8191528320312)",1,"(0.3565419018268585, 0.15768402814865112)","(-78.6783447265625, 257.4837646484375, 86.87940979003906)",1,3.53021240234375,1,"(30.041418075561523, 48.261741638183594, 590.4163208007812)",1
1437595447,2902226989181,"(0.3485281765460968, 0.18587255477905273)","(-83.12804412841797, 249.21054077148438, 83.86820220947266)",1,3.595458984375,1,"(-31.921588897705078, 41.49148178100586, 589.5537109375)",1,"(0.35607755184173584, 0.1583389937877655)","(-78.93618774414062, 257.2915344238281, 86.8094253540039)",1,3.515533447265625,1,"(30.035017013549805, 48.24387741088867, 590.1654052734375)",1
1437611828,2902227005562,"(0.3332570791244507, 0.16855400800704956)","(-91.60742950439453, 254.29347229003906, 85.71822357177734)",1,3.594818115234375,1,"(-31.960866928100586, 41.51376724243164, 589.4136962890625)",1,"(0.3446338474750519, 0.14421346783638)","(-85.2903823852539, 261.4372863769531, 88.31837463378906)",1,3.517852783203125,1,"(29.98026466369629, 48.255523681640625, 590.0140991210938)",1
1437628520,2902227022255,"(0.3036791980266571, 0.12863494455814362)","(-108.03076171875, 266.00958251953125, 89.9825439453125)",1,3.569610595703125,1,"(-32.06644821166992, 41.56087112426758, 589.036865234375)",1,"(0.31507837772369385, 0.107813760638237)","(-101.70127868652344, 272.1204833984375, 92.20674133300781)",1,3.48828125,1,"(29.750446319580078, 48.30622100830078, 589.622802734375)",1
1437645367,2902227039102,"(0.3047627806663513, 0.1322609782218933)","(-107.42906188964844, 264.9453125, 89.59520721435547)",1,3.5557861328125,1,"(-32.12804412841797, 41.57259750366211, 589.175537109375)",1,"(0.3148999512195587, 0.10608572512865067)","(-101.80035400390625, 272.6276550292969, 92.39131927490234)",1,3.479736328125,1,"(29.724273681640625, 48.31779861450195, 589.8041381835938)",1
1437661698,2902227055433,"(0.30465129017829895, 0.12877127528190613)","(-107.490966796875, 265.9695129394531, 89.96797943115234)",1,3.5456085205078125,1,"(-32.17742156982422, 41.599220275878906, 589.560302734375)",1,"(0.31625014543533325, 0.1026221364736557)","(-101.05062103271484, 273.6441955566406, 92.76131439208984)",1,3.4771881103515625,1,"(29.725086212158203, 48.35161590576172, 590.1716918945312)",1
