device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1504992377,2902294386692,"(0.4840875566005707, 0.9157266020774841)","(-7.857746124267578, 35.00124740600586, 5.9024152755737305)",1,3.8632659912109375,1,"(-36.18624496459961, 37.067626953125, 596.5980834960938)",1,"(0.49368345737457275, 0.8632153272628784)","(-2.5295372009277344, 50.41312026977539, 11.51182746887207)",1,3.74609375,1,"(25.795923233032227, 44.78369140625, 597.6735229492188)",1
1505009049,2902294403364,"(0.4830455780029297, 0.9131096005439758)","(-8.4363374710083, 35.76933288574219, 6.181989669799805)",1,3.85089111328125,1,"(-36.14201354980469, 37.08369064331055, 596.5158081054688)",1,"(0.49280932545661926, 0.8611345291137695)","(-3.0149405002593994, 51.0238151550293, 11.734143257141113)",1,3.7373199462890634,1,"(25.838600158691406, 44.78202819824219, 597.5732421875)",1
1505025910,2902294420224,"(0.48474639654159546, 0.9108611941337585)","(-7.491939067840576, 36.42924499511719, 6.422132968902588)",1,3.8272552490234375,1,"(-36.115211486816406, 37.119781494140625, 596.4991455078125)",1,"(0.49256619811058044, 0.8613535761833191)","(-3.1499321460723877, 50.959529876708984, 11.710775375366211)",1,3.72589111328125,1,"(25.865589141845703, 44.79383850097656, 597.553955078125)",1
1505042247,2902294436561,"(0.48210564255714417, 0.9046517014503479)","(-8.958230972290039, 38.251705169677734, 7.085468292236328)",1,3.811492919921875,1,"(-36.1202507019043, 37.139373779296875, 596.5774536132812)",1,"(0.49146270751953125, 0.8635145425796509)","(-3.762636661529541, 50.32526779174805, 11.479915618896484)",1,3.7200775146484375,1,"(25.87248992919922, 44.816009521484375, 597.63134765625)",1
1505058965,2902294453279,"(0.47539618611335754, 0.9038969278335571)","(-12.683693885803223, 38.473228454589844, 7.16611385345459)",1,3.80279541015625,1,"(-36.15446853637695, 37.189453125, 596.709716796875)",1,"(0.4882308840751648, 0.863481879234314)","(-5.557143211364746, 50.334877014160156, 11.483330726623535)",1,3.7266845703125,1,"(25.83397674560547, 44.86739730834961, 597.7740478515625)",1
1505075830,2902294470145,"(0.4771920144557953, 0.9053551554679871)","(-11.686565399169922, 38.04523468017578, 7.010319709777832)",1,3.7976226806640634,1,"(-36.187740325927734, 37.229530334472656, 596.8268432617188)",1,"(0.48751595616340637, 0.863923966884613)","(-5.954141616821289, 50.205135345458984, 11.436148643493652)",1,3.717483520507813,1,"(25.823583602905273, 44.912322998046875, 597.8950805664062)",1
1505092213,2902294486528,"(0.47628891468048096, 0.9075830578804016)","(-12.18801212310791, 37.39134216308594, 6.772341251373291)",1,3.791412353515625,1,"(-36.190677642822266, 37.24855422973633, 596.8471069335938)",1,"(0.48648297786712646, 0.8610528111457825)","(-6.527689456939697, 51.047813415527344, 11.742871284484863)",1,3.709259033203125,1,"(25.8259334564209, 44.92376708984375, 597.9200439453125)",1
1505108880,2902294503195,"(0.4751378893852234, 0.9095178246498108)","(-12.827123641967773, 36.823516845703125, 6.565697193145752)",1,3.787521362304688,1,"(-36.17228317260742, 37.25625228881836, 596.763427734375)",1,"(0.4858566224575043, 0.8610053062438965)","(-6.875467777252197, 51.061744689941406, 11.747912406921387)",1,3.695343017578125,1,"(25.838153839111328, 44.9286003112793, 597.8228759765625)",1
1505125750,2902294520065,"(0.4742452800273895, 0.9113141298294067)","(-13.322770118713379, 36.29629135131836, 6.373746395111084)",1,3.774612426757813,1,"(-36.12446975708008, 37.253353118896484, 596.6103515625)",1,"(0.4847261309623718, 0.8610750436782837)","(-7.503178596496582, 51.041263580322266, 11.740498542785645)",1,3.689529418945313,1,"(25.869232177734375, 44.921295166015625, 597.67822265625)",1
1505142081,2902294536396,"(0.4740428030490875, 0.9089083075523376)","(-13.435179710388184, 37.00239944458008, 6.630739212036133)",1,3.772781372070313,1,"(-36.10559844970703, 37.26011657714844, 596.6331176757812)",1,"(0.485160231590271, 0.861356794834137)","(-7.262142181396484, 50.95853805541992, 11.710406303405762)",1,3.6875152587890634,1,"(25.890308380126953, 44.922489166259766, 597.694091796875)",1
1505158892,2902294553207,"(0.4756978750228882, 0.9090995192527771)","(-12.516181945800781, 36.94629669189453, 6.610283374786377)",1,3.764984130859375,1,"(-36.083683013916016, 37.26783752441406, 596.6687622070312)",1,"(0.48591798543930054, 0.8599135279655457)","(-6.841404438018799, 51.382164001464844, 11.864564895629883)",1,3.677444458007813,1,"(25.91950225830078, 44.911033630371094, 597.7275390625)",1
1505175670,2902294569985,"(0.4761424660682678, 0.9069251418113708)","(-12.269304275512695, 37.584442138671875, 6.842613220214844)",1,3.759353637695313,1,"(-36.079891204833984, 37.254329681396484, 596.6884765625)",1,"(0.48867788910865784, 0.8562789559364319)","(-5.3089599609375, 52.44891357421875, 12.252809524536133)",1,3.667449951171875,1,"(25.926843643188477, 44.8848876953125, 597.7411499023438)",1
1505192047,2902294586363,"(0.4759674072265625, 0.9029943943023682)","(-12.366527557373047, 38.73810577392578, 7.2625203132629395)",1,3.761154174804688,1,"(-36.09372329711914, 37.22932815551758, 596.7407836914062)",1,"(0.48799827694892883, 0.8583003878593445)","(-5.686291694641113, 51.85564041137695, 12.03688907623291)",1,3.66790771484375,1,"(25.924211502075195, 44.864288330078125, 597.7927856445312)",1
1505208808,2902294603123,"(0.47456082701683044, 0.9011327624320984)","(-13.147541046142578, 39.284488677978516, 7.461355209350586)",1,3.770339965820313,1,"(-36.13417053222656, 37.19586181640625, 596.8536376953125)",1,"(0.48536545038223267, 0.8603814840316772)","(-7.1482062339782715, 51.24482727050781, 11.81460189819336)",1,3.669952392578125,1,"(25.907981872558594, 44.835750579833984, 597.9158935546875)",1
