device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1361051309,2902150444350,"(0.43585121631622314, 0.10123592615127563)","(-34.641319274902344, 274.0510559082031, 92.90937042236328)",1,3.2941131591796875,1,"(-32.577667236328125, 50.96132278442383, 584.7484130859375)",1,"(0.4432443082332611, 0.08745624125003815)","(-30.53624153137207, 278.0953674316406, 94.38138580322266)",1,3.2115631103515625,1,"(29.200414657592773, 58.30080795288086, 585.6578979492188)",1
1361068142,2902150461183,"(0.4393303692340851, 0.09832208603620529)","(-32.709476470947266, 274.9062194824219, 93.22066497802734)",1,3.3123779296875,1,"(-32.67661666870117, 51.01494216918945, 585.1458129882812)",1,"(0.4423881769180298, 0.08372069150209427)","(-31.01163673400879, 279.19171142578125, 94.78047180175781)",1,3.2076873779296875,1,"(29.172504425048828, 58.330509185791016, 585.9888916015625)",1
1361084514,2902150477555,"(0.4392998218536377, 0.09561482071876526)","(-32.72646713256836, 275.7008361816406, 93.50989532470703)",1,3.3111724853515625,1,"(-32.68846130371094, 50.996543884277344, 585.0082397460938)",1,"(0.44206419587135315, 0.08322760462760925)","(-31.19154167175293, 279.3364562988281, 94.8331298828125)",1,3.2129058837890625,1,"(29.1591739654541, 58.30513381958008, 585.8862915039062)",1
1361101223,2902150494264,"(0.4407176971435547, 0.09521747380495071)","(-31.939191818237305, 275.8174133300781, 93.55236053466797)",1,3.3177490234375,1,"(-32.64658737182617, 50.980712890625, 585.08642578125)",1,"(0.44263091683387756, 0.08518549054861069)","(-30.876840591430664, 278.76177978515625, 94.62397003173828)",1,3.215057373046875,1,"(29.230161666870117, 58.28135681152344, 585.954833984375)",1
1361118066,2902150511107,"(0.4419899880886078, 0.09537952393293381)","(-31.23273277282715, 275.76983642578125, 93.53501892089844)",1,3.31817626953125,1,"(-32.52427673339844, 50.92429733276367, 584.9751586914062)",1,"(0.442881315946579, 0.08324480801820755)","(-30.737804412841797, 279.33135986328125, 94.8312759399414)",1,3.215682983398437,1,"(29.3420467376709, 58.2298469543457, 585.8236694335938)",1
1361134384,2902150527425,"(0.43975621461868286, 0.09855560213327408)","(-32.473060607910156, 274.83770751953125, 93.19575500488281)",1,3.3131256103515625,1,"(-32.44618225097656, 50.89738464355469, 585.0194702148438)",1,"(0.444458931684494, 0.0794881135225296)","(-29.861825942993164, 280.4339599609375, 95.23258209228516)",1,3.2208404541015625,1,"(29.41610336303711, 58.200687408447266, 585.84228515625)",1
1361151139,2902150544180,"(0.4405362010002136, 0.09973626583814621)","(-32.03995132446289, 274.4912109375, 93.06962585449219)",1,3.326400756835937,1,"(-32.36152267456055, 50.85658645629883, 585.1112670898438)",1,"(0.4427112638950348, 0.0843781903386116)","(-30.832223892211914, 278.99871826171875, 94.7102279663086)",1,3.21923828125,1,"(29.529130935668945, 58.17125701904297, 585.9485473632812)",1
1361167982,2902150561024,"(0.4414668381214142, 0.10040922462940216)","(-31.523221969604492, 274.293701171875, 92.99772644042969)",1,3.3363037109375,1,"(-32.37136459350586, 50.851287841796875, 585.38134765625)",1,"(0.44310200214385986, 0.0834684744477272)","(-30.61528205871582, 279.2657470703125, 94.80741882324219)",1,3.2247467041015625,1,"(29.54136085510254, 58.15968322753906, 586.1885986328125)",1
1361184350,2902150577392,"(0.44252291321754456, 0.09862544387578964)","(-30.936830520629883, 274.8172302246094, 93.18826293945312)",1,3.3440704345703125,1,"(-32.414649963378906, 50.85205841064453, 585.4901123046875)",1,"(0.4433770775794983, 0.08185578882694244)","(-30.462499618530273, 279.7390441894531, 94.97966003417969)",1,3.2257843017578125,1,"(29.508697509765625, 58.159324645996094, 586.3060913085938)",1
1361201055,2902150594097,"(0.44183164834976196, 0.10015309602022171)","(-31.32065773010254, 274.3688659667969, 93.02507781982422)",1,3.354217529296875,1,"(-32.51371383666992, 50.87324142456055, 585.566650390625)",1,"(0.44451797008514404, 0.08474304527044296)","(-29.829042434692383, 278.8916931152344, 94.67121124267578)",1,3.2393951416015625,1,"(29.406734466552734, 58.187862396240234, 586.3915405273438)",1
