device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1484858285,2902274252438,"(0.5064927935600281, 0.40498802065849304)","(4.582921028137207, 184.90101623535156, 60.46144104003906)",1,3.6120452880859375,1,"(-42.562110900878906, 45.30509567260742, 587.5445556640625)",1,"(0.5106993913650513, 0.3739013373851776)","(6.918651580810547, 194.0248260498047, 63.782249450683594)",1,3.5290985107421875,1,"(19.345600128173828, 54.8151969909668, 589.5888061523438)",1
1484874626,2902274268779,"(0.5058597922325134, 0.4103240966796875)","(4.2314300537109375, 183.3349151611328, 59.89142608642578)",1,3.6161956787109375,1,"(-42.40399169921875, 45.27897262573242, 587.297607421875)",1,"(0.511142373085022, 0.37134698033332825)","(7.164621829986572, 194.77452087402344, 64.05509185791016)",1,3.526229858398437,1,"(19.481204986572266, 54.77179718017578, 589.3380126953125)",1
1484891308,2902274285461,"(0.5047541856765747, 0.40705180168151855)","(3.6175127029418945, 184.2953338623047, 60.2409782409668)",1,3.600250244140625,1,"(-42.13645935058594, 45.26567077636719, 587.1197509765625)",1,"(0.5113717913627625, 0.37287628650665283)","(7.292006015777588, 194.32566833496094, 63.891761779785156)",1,3.5305633544921875,1,"(19.772811889648438, 54.737464904785156, 589.1098022460938)",1
1484908205,2902274302358,"(0.5057934522628784, 0.4090266227722168)","(4.19459867477417, 183.71571350097656, 60.030033111572266)",1,3.606842041015625,1,"(-41.775028228759766, 45.26553726196289, 586.9254760742188)",1,"(0.511381208896637, 0.37500834465026855)","(7.297164440155029, 193.69992065429688, 63.66400909423828)",1,3.5312652587890625,1,"(20.080379486083984, 54.722530364990234, 588.8961791992188)",1
1484924496,2902274318649,"(0.5048472881317139, 0.4088040888309479)","(3.6692473888397217, 183.78099060058594, 60.05379104614258)",1,3.60614013671875,1,"(-41.558982849121094, 45.28180694580078, 586.8289184570312)",1,"(0.5104277729988098, 0.3762481212615967)","(6.767779350280762, 193.33607482910156, 63.53156280517578)",1,3.52789306640625,1,"(20.29323387145996, 54.72736358642578, 588.7767944335938)",1
1484941223,2902274335376,"(0.5025793313980103, 0.40780457854270935)","(2.4099297523498535, 184.0743408203125, 60.160552978515625)",1,3.5970458984375,1,"(-41.209293365478516, 45.33431625366211, 586.6692504882812)",1,"(0.5123326778411865, 0.3755611479282379)","(7.825549125671387, 193.5376739501953, 63.604949951171875)",1,3.520370483398437,1,"(20.648128509521484, 54.749393463134766, 588.5543823242188)",1
1484958121,2902274352275,"(0.5024300217628479, 0.4097774624824524)","(2.327040433883667, 183.49534606933594, 59.94979476928711)",1,3.5994110107421875,1,"(-40.86629104614258, 45.44575881958008, 586.6316528320312)",1,"(0.5108913779258728, 0.37773817777633667)","(7.02525520324707, 192.8987274169922, 63.37238693237305)",1,3.514984130859375,1,"(20.964996337890625, 54.798221588134766, 588.484375)",1
1484974462,2902274368616,"(0.5032274127006531, 0.40875038504600525)","(2.7697525024414062, 183.79678344726562, 60.05952453613281)",1,3.5969696044921875,1,"(-40.699886322021484, 45.50745391845703, 586.6705322265625)",1,"(0.5123805403709412, 0.3777616024017334)","(7.852117538452148, 192.89187622070312, 63.369869232177734)",1,3.5111083984375,1,"(21.13874053955078, 54.82841491699219, 588.4881591796875)",1
1484991139,2902274385293,"(0.506158709526062, 0.4106528162956238)","(4.39738655090332, 183.23841857910156, 59.856346130371094)",1,3.5972900390625,1,"(-40.46403503417969, 45.604190826416016, 586.66796875)",1,"(0.5079069137573242, 0.3824218213558197)","(5.36810302734375, 191.52410888671875, 62.872047424316406)",1,3.5139923095703125,1,"(21.426427841186523, 54.89329528808594, 588.451416015625)",1
1485008041,2902274402195,"(0.5034895539283752, 0.4119291305541992)","(2.9153289794921875, 182.86383056640625, 59.7199821472168)",1,3.589691162109375,1,"(-40.18509292602539, 45.67887496948242, 586.480224609375)",1,"(0.5069379806518555, 0.3806421160697937)","(4.830143451690674, 192.04644775390625, 63.06214141845703)",1,3.506622314453125,1,"(21.65322494506836, 54.931095123291016, 588.263916015625)",1
