device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1322945557,2902112338297,"(0.6045359373092651, 0.5896626710891724)","(59.022037506103516, 130.69973754882812, 40.7337760925293)",1,3.6005096435546875,1,"(-31.770095825195312, 52.173255920410156, 576.1163330078125)",1,"(0.5941884517669678, 0.561440110206604)","(53.27651596069336, 138.98294067382812, 43.748680114746094)",1,3.5968475341796875,1,"(30.071401596069336, 59.87205123901367, 576.9676513671875)",1
1322962307,2902112355047,"(0.602157711982727, 0.5839401483535767)","(57.70151138305664, 132.37925720214844, 41.34510040283203)",1,3.613113403320313,1,"(-31.775699615478516, 52.104671478271484, 575.9815673828125)",1,"(0.5969188809394836, 0.5474100112915039)","(54.79256820678711, 143.10069274902344, 45.24740219116211)",1,3.6069183349609375,1,"(30.088655471801758, 59.82509231567383, 576.8068237304688)",1
1322979167,2902112371908,"(0.6023964881896973, 0.5797978639602661)","(57.8341178894043, 133.59500122070312, 41.78761672973633)",1,3.60589599609375,1,"(-31.751768112182617, 52.08817672729492, 575.976318359375)",1,"(0.5958743095397949, 0.5488014221191406)","(54.21256637573242, 142.6923370361328, 45.09876251220703)",1,3.609298706054688,1,"(30.134113311767578, 59.82522964477539, 576.8070068359375)",1
1322995523,2902112388264,"(0.601116955280304, 0.5790512561798096)","(57.12364959716797, 133.8141326904297, 41.867347717285156)",1,3.6092681884765625,1,"(-31.730070114135742, 52.09687423706055, 576.08740234375)",1,"(0.5952602624893188, 0.5515276193618774)","(53.871612548828125, 141.8922119140625, 44.80754470825195)",1,3.605422973632813,1,"(30.188831329345703, 59.83692932128906, 576.9151611328125)",1
1323012223,2902112404964,"(0.601620614528656, 0.5823104977607727)","(57.40330123901367, 132.85757446289062, 41.51918411254883)",1,3.6204833984375,1,"(-31.66661834716797, 52.12529754638672, 576.1559448242188)",1,"(0.5966087579727173, 0.5552183389663696)","(54.62041473388672, 140.8090057373047, 44.41323471069336)",1,3.611724853515625,1,"(30.282649993896484, 59.84017562866211, 576.9808959960938)",1
1323029087,2902112421828,"(0.6016980409622192, 0.5791407823562622)","(57.44627380371094, 133.7878875732422, 41.857784271240234)",1,3.62799072265625,1,"(-31.583036422729492, 52.15538787841797, 576.3580932617188)",1,"(0.5968535542488098, 0.55302494764328)","(54.756324768066406, 141.45278930664062, 44.64756774902344)",1,3.5996551513671875,1,"(30.397724151611328, 59.845069885253906, 577.162353515625)",1
1323045392,2902112438133,"(0.6026473045349121, 0.5780470967292786)","(57.97339630126953, 134.10885620117188, 41.974605560302734)",1,3.613861083984375,1,"(-31.549118041992188, 52.17963790893555, 576.6146850585938)",1,"(0.5964667797088623, 0.5544700026512146)","(54.541595458984375, 141.02862548828125, 44.49319839477539)",1,3.6052398681640634,1,"(30.482177734375, 59.86052322387695, 577.3976440429688)",1
1323062137,2902112454878,"(0.6020609736442566, 0.5839449763298035)","(57.647804260253906, 132.3778533935547, 41.34452819824219)",1,3.63421630859375,1,"(-31.474578857421875, 52.18996047973633, 576.8575439453125)",1,"(0.5965676307678223, 0.5539817810058594)","(54.59758377075195, 141.1719512939453, 44.545352935791016)",1,3.615036010742188,1,"(30.601539611816406, 59.85906982421875, 577.6495361328125)",1
1323079007,2902112471748,"(0.601044237613678, 0.5785730481147766)","(57.08321762084961, 133.9544677734375, 41.91843795776367)",1,3.633224487304688,1,"(-31.414976119995117, 52.1805419921875, 576.8764038085938)",1,"(0.5963156223297119, 0.5557509064674377)","(54.45763397216797, 140.65264892578125, 44.35640335083008)",1,3.603424072265625,1,"(30.66123390197754, 59.838253021240234, 577.6519775390625)",1
1323095358,2902112488100,"(0.6008344888687134, 0.5779294967651367)","(56.96672821044922, 134.14337158203125, 41.987205505371094)",1,3.627655029296875,1,"(-31.39828109741211, 52.16999816894531, 576.7478637695312)",1,"(0.5941603183746338, 0.5564060807228088)","(53.26087188720703, 140.4603729248047, 44.28639221191406)",1,3.614288330078125,1,"(30.676054000854492, 59.81985855102539, 577.53369140625)",1
