device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1475589451,2902264983522,"(0.33082151412963867, 0.6779977083206177)","(-92.95977783203125, 104.77375030517578, 31.297460556030273)",1,3.284896850585937,1,"(-30.403488159179688, 35.05389404296875, 596.5814819335938)",1,"(0.33579719066619873, 0.6360155344009399)","(-90.19697570800781, 117.0953598022461, 35.782222747802734)",1,3.2395477294921875,1,"(31.641016006469727, 42.1032600402832, 596.97021484375)",1
1475606173,2902265000244,"(0.3335067927837372, 0.6744204163551331)","(-91.4687728881836, 105.8237075805664, 31.67963409423828)",1,3.293121337890625,1,"(-30.433446884155273, 35.0606689453125, 596.5824584960938)",1,"(0.33366963267326355, 0.6388070583343506)","(-91.37835693359375, 116.27604675292969, 35.48402404785156)",1,3.2388153076171875,1,"(31.628271102905273, 42.12346649169922, 596.9749145507812)",1
1475623020,2902265017091,"(0.3282652795314789, 0.712634265422821)","(-94.37918090820312, 94.60807800292969, 27.597518920898438)",1,3.3043365478515625,1,"(-30.48004722595215, 34.99808883666992, 596.4729614257812)",1,"(0.32761743664741516, 0.6678450703620911)","(-94.7388687133789, 107.7535171508789, 32.38203811645508)",1,3.2369384765625,1,"(31.525400161743164, 42.071842193603516, 596.8721923828125)",1
1475639417,2902265033489,"(0.3277612030506134, 0.7174391746520996)","(-94.65904235839844, 93.19783020019531, 27.084230422973633)",1,3.306991577148437,1,"(-30.522573471069336, 34.967140197753906, 596.3823852539062)",1,"(0.3274163603782654, 0.6766420006752014)","(-94.85054779052734, 105.17166900634766, 31.442337036132812)",1,3.251953125,1,"(31.460477828979492, 42.03450012207031, 596.7949829101562)",1
1475656089,2902265050161,"(0.32834339141845703, 0.7142876386642456)","(-94.3357925415039, 94.12279510498047, 27.420875549316406)",1,3.32171630859375,1,"(-30.588821411132812, 34.96178436279297, 596.4942626953125)",1,"(0.3300093710422516, 0.6754826903343201)","(-93.41075897216797, 105.51190948486328, 31.566184997558594)",1,3.2510528564453125,1,"(31.428464889526367, 42.048526763916016, 596.9188232421875)",1
1475672940,2902265067012,"(0.3262113332748413, 0.7154037952423096)","(-95.51962280273438, 93.79520416259766, 27.30162239074707)",1,3.3307647705078125,1,"(-30.646310806274414, 34.93824005126953, 596.5909423828125)",1,"(0.3291386663913727, 0.6771407723426819)","(-93.89421081542969, 105.02526092529297, 31.389049530029297)",1,3.2537078857421875,1,"(31.392229080200195, 42.03627014160156, 597.0054931640625)",1
1475689287,2902265083359,"(0.32458192110061646, 0.716245174407959)","(-96.42434692382812, 93.54827880859375, 27.211734771728516)",1,3.3319244384765625,1,"(-30.66303825378418, 34.92448425292969, 596.556640625)",1,"(0.3295591473579407, 0.6798085570335388)","(-93.66071319580078, 104.24227905273438, 31.104045867919922)",1,3.2595672607421875,1,"(31.374513626098633, 42.02725601196289, 596.9810180664062)",1
1475706005,2902265100077,"(0.32570117712020874, 0.7145761251449585)","(-95.80290222167969, 94.03811645507812, 27.390037536621094)",1,3.338043212890625,1,"(-30.67827606201172, 34.89194869995117, 596.497802734375)",1,"(0.3291374146938324, 0.6806085109710693)","(-93.89490509033203, 104.00749969482422, 31.018592834472656)",1,3.2608795166015625,1,"(31.356063842773438, 42.007476806640625, 596.9202270507812)",1
1475722860,2902265116932,"(0.32599788904190063, 0.7182983756065369)","(-95.63814544677734, 92.94567108154297, 26.9924259185791)",1,3.3391571044921875,1,"(-30.677391052246094, 34.872833251953125, 596.4774169921875)",1,"(0.3284953534603119, 0.6808189749717712)","(-94.25137329101562, 103.9457015991211, 30.996112823486328)",1,3.2727203369140625,1,"(31.359865188598633, 41.989810943603516, 596.9017944335938)",1
1475739253,2902265133326,"(0.3266504108905792, 0.7188661098480225)","(-95.27581024169922, 92.77903747558594, 26.93177032470703)",1,3.353515625,1,"(-30.666275024414062, 34.853450775146484, 596.4290161132812)",1,"(0.3302915394306183, 0.6822344660758972)","(-93.25403594970703, 103.53028106689453, 30.844911575317383)",1,3.290634155273437,1,"(31.367382049560547, 41.97819519042969, 596.8546142578125)",1
