device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
663900192,818214360732,"(0.5075229406356812, 0.5502015948295593)","(4.80124044418335, 141.5078582763672, 44.66767501831055)",1,3.791961669921875,1,"(-59.0139274597168, -21.988161087036133, 718.172607421875)",1,"(0.49777951836586, 0.5277179479598999)","(-0.5771461129188538, 148.0680694580078, 47.055362701416016)",1,3.845001220703125,1,"(5.422138214111328, -22.39307403564453, 720.592041015625)",1
663917062,818214377602,"(0.5081019401550293, 0.5464365482330322)","(5.120901584625244, 142.60641479492188, 45.067481994628906)",1,3.7864532470703125,1,"(-59.07296371459961, -22.050222396850586, 718.1573486328125)",1,"(0.4980998635292053, 0.521679699420929)","(-0.4002903699874878, 149.82986450195312, 47.69658660888672)",1,3.8389434814453125,1,"(5.368896484375, -22.491172790527344, 720.598876953125)",1
663933127,818214393667,"(0.509080171585083, 0.5418260097503662)","(5.660862445831299, 143.95166015625, 45.557090759277344)",1,3.7817230224609375,1,"(-59.10314178466797, -21.993839263916016, 718.3911743164062)",1,"(0.49622926115989685, 0.5204598307609558)","(-1.4328762292861938, 150.18582153320312, 47.826148986816406)",1,3.8510284423828125,1,"(5.356318950653076, -22.460968017578125, 720.8136596679688)",1
663950062,818214410602,"(0.5088119506835938, 0.5473619103431702)","(5.512821197509766, 142.33641052246094, 44.96919631958008)",1,3.7981414794921875,1,"(-59.08594512939453, -21.904861450195312, 718.4873657226562)",1,"(0.49759551882743835, 0.518478274345398)","(-0.6787077188491821, 150.76397705078125, 48.036582946777344)",1,3.853363037109375,1,"(5.380012035369873, -22.387598037719727, 720.9163818359375)",1
663967074,818214427615,"(0.5093390345573425, 0.5414342284202576)","(5.803750038146973, 144.0659942626953, 45.598724365234375)",1,3.80535888671875,1,"(-58.987239837646484, -21.80638313293457, 718.4813232421875)",1,"(0.49814513325691223, 0.5190848112106323)","(-0.37530672550201416, 150.5869903564453, 47.97212600708008)",1,3.8594207763671875,1,"(5.48080587387085, -22.28500747680664, 720.895751953125)",1
663983047,818214443588,"(0.5082242488861084, 0.5446171760559082)","(5.188379287719727, 143.13726806640625, 45.2607307434082)",1,3.8070220947265625,1,"(-58.81439971923828, -21.825233459472656, 718.3869018554688)",1,"(0.497789591550827, 0.5222828388214111)","(-0.5715553760528564, 149.65386962890625, 47.63256072998047)",1,3.868499755859375,1,"(5.629979610443115, -22.282318115234375, 720.797607421875)",1
664000028,818214460569,"(0.5125630497932434, 0.5441181063652039)","(7.583402156829834, 143.28289794921875, 45.31369400024414)",1,3.8053131103515625,1,"(-58.74809265136719, -21.84296417236328, 718.54736328125)",1,"(0.49810031056404114, 0.5211824774742126)","(-0.40005117654800415, 149.97496032714844, 47.74941635131836)",1,3.8881988525390625,1,"(5.726551055908203, -22.311504364013672, 720.95751953125)",1
664016990,818214477531,"(0.5123049020767212, 0.5400973558425903)","(7.440951347351074, 144.45603942871094, 45.74070358276367)",1,3.8164520263671875,1,"(-58.6768913269043, -21.843730926513672, 718.8507690429688)",1,"(0.4973777234554291, 0.5177404284477234)","(-0.7989378571510315, 150.979248046875, 48.114959716796875)",1,3.8944244384765625,1,"(5.827163219451904, -22.29863166809082, 721.2406616210938)",1
664032967,818214493508,"(0.5113075971603394, 0.5416221618652344)","(6.890426158905029, 144.01113891601562, 45.5787467956543)",1,3.829345703125,1,"(-58.72294616699219, -21.774486541748047, 718.9175415039062)",1,"(0.496262788772583, 0.5239067077636719)","(-1.4143840074539185, 149.18008422851562, 47.460086822509766)",1,3.9067230224609375,1,"(5.789730072021484, -22.22609519958496, 721.3150024414062)",1
664049994,818214510536,"(0.5134725570678711, 0.5362928509712219)","(8.085463523864746, 145.56613159179688, 46.14472198486328)",1,3.83477783203125,1,"(-58.80261993408203, -21.75827407836914, 719.015625)",1,"(0.4969936013221741, 0.5256602168083191)","(-1.010945439338684, 148.66844177246094, 47.273887634277344)",1,3.911895751953125,1,"(5.718982696533203, -22.199596405029297, 721.4312133789062)",1
664066905,818214527447,"(0.5111144185066223, 0.5347481966018677)","(6.783758163452148, 146.0167999267578, 46.30874252319336)",1,3.84307861328125,1,"(-58.90348815917969, -21.75876808166504, 719.188232421875)",1,"(0.5009025931358337, 0.5178875923156738)","(1.1468117237091064, 150.9363250732422, 48.099342346191406)",1,3.9165191650390625,1,"(5.629558563232422, -22.204147338867188, 721.5964965820312)",1
664082887,818214543429,"(0.5099056959152222, 0.5357843041419983)","(6.116490364074707, 145.71450805664062, 46.198768615722656)",1,3.8566741943359375,1,"(-58.88261032104492, -21.786067962646484, 718.9248657226562)",1,"(0.49777278304100037, 0.5187786221504211)","(-0.5808476805686951, 150.6763458251953, 48.004703521728516)",1,3.9214324951171875,1,"(5.630168914794922, -22.230199813842773, 721.3429565429688)",1
664099863,818214560405,"(0.5125238299369812, 0.5360991358757019)","(7.561758518218994, 145.62261962890625, 46.16533660888672)",1,3.867401123046875,1,"(-58.85361862182617, -21.809247970581055, 718.880615234375)",1,"(0.4983477294445038, 0.5159640908241272)","(-0.2634885907173157, 151.49754333496094, 48.30362319946289)",1,3.9335479736328125,1,"(5.671298027038574, -22.25780487060547, 721.2886352539062)",1
664116820,818214577363,"(0.5123685002326965, 0.5341124534606934)","(7.4760026931762695, 146.20230102539062, 46.37629699707031)",1,3.889923095703125,1,"(-58.71023178100586, -21.810144424438477, 718.7193603515625)",1,"(0.498340904712677, 0.5162771344184875)","(-0.2672743797302246, 151.40621948242188, 48.270362854003906)",1,3.9375457763671875,1,"(5.808323383331299, -22.247217178344727, 721.1053466796875)",1
664132807,818214593350,"(0.5068010687828064, 0.5315718054771423)","(4.402777194976807, 146.94361877441406, 46.64603805541992)",1,3.895782470703125,1,"(-58.45326614379883, -21.697555541992188, 718.2804565429688)",1,"(0.4986042380332947, 0.5175377726554871)","(-0.12189431488513947, 151.0384063720703, 48.1364631652832)",1,3.927032470703125,1,"(5.99629020690918, -22.14188003540039, 720.67236328125)",1
664149829,818214610372,"(0.5104179382324219, 0.5426548719406128)","(6.399276256561279, 143.70985412597656, 45.46902847290039)",1,3.8955230712890625,1,"(-58.34560775756836, -21.624181747436523, 718.2139282226562)",1,"(0.49979910254478455, 0.5119953155517578)","(0.5376718044281006, 152.65557861328125, 48.725040435791016)",1,3.9449005126953125,1,"(6.116044521331787, -22.103849411010742, 720.5830688476562)",1
