device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
690407735,818240868754,"(0.5259307622909546, 0.6686474084854126)","(14.962453842163086, 106.94817352294922, 32.08894729614258)",1,4.24468994140625,1,"(-58.771697998046875, -21.444189071655273, 721.5359497070312)",1,"(0.5165639519691467, 0.6883385181427002)","(9.791930198669434, 101.20278930664062, 29.997793197631836)",1,4.34918212890625,1,"(5.488884925842285, -23.037790298461914, 723.9689331054688)",1
690424734,818240885753,"(0.5256541967391968, 0.672402560710907)","(14.809803009033203, 105.85250854492188, 31.690196990966797)",1,4.2402191162109375,1,"(-58.6988639831543, -21.475854873657227, 721.265625)",1,"(0.5166164636611938, 0.6817204356193542)","(9.820910453796387, 103.13380432128906, 30.70060920715332)",1,4.351898193359375,1,"(5.540709495544434, -23.08344268798828, 723.7048950195312)",1
690440656,818240901675,"(0.5242123007774353, 0.6678816080093384)","(14.013847351074219, 107.17164611816406, 32.170284271240234)",1,4.250213623046875,1,"(-58.65081024169922, -21.60437774658203, 721.2459106445312)",1,"(0.5156184434890747, 0.6917853355407715)","(9.269989013671875, 100.19709777832031, 29.631776809692383)",1,4.3514404296875,1,"(5.579714298248291, -23.178821563720703, 723.6812744140625)",1
690457701,818240918721,"(0.4993465840816498, 0.7194898724555969)","(0.28785791993141174, 92.11359405517578, 26.689542770385742)",1,4.2531890869140625,1,"(-58.65407180786133, -21.741731643676758, 721.169677734375)",1,"(0.4892433285713196, 0.7467902302742004)","(-5.289102554321289, 84.14794921875, 23.790342330932617)",1,4.354705810546875,1,"(5.48760986328125, -23.33019256591797, 723.5885620117188)",1
690474649,818240935669,"(0.4481157064437866, 0.8558765053749084)","(-27.99173927307129, 52.319175720214844, 12.205561637878418)",1,4.263946533203125,1,"(-58.70158004760742, -22.0096378326416, 721.2146606445312)",1,"(0.4374990463256836, 0.8748465180397034)","(-33.85215377807617, 46.784175872802734, 10.191030502319336)",1,4.384185791015625,1,"(5.243885040283203, -23.608165740966797, 723.650146484375)",1
690490576,818240951596,"(0.43759685754776, 0.889753520488739)","(-33.79814910888672, 42.43463134765625, 8.607922554016113)",1,4.2533111572265625,1,"(-58.690513610839844, -22.079225540161133, 721.1627807617188)",1,"(0.4294055104255676, 0.9123547077178955)","(-38.31981658935547, 35.84018325805664, 6.207746505737305)",1,4.383544921875,1,"(5.193909168243408, -23.72481346130371, 723.5755004882812)",1
690507667,818240968687,"(0.43818676471710205, 0.8992566466331482)","(-33.472537994384766, 39.661865234375, 7.598722457885742)",1,4.244293212890625,1,"(-58.6839485168457, -22.03835678100586, 721.165771484375)",1,"(0.42930665612220764, 0.9113606214523315)","(-38.3743782043457, 36.13022232055664, 6.313294887542725)",1,4.378936767578125,1,"(5.240370273590088, -23.722209930419922, 723.5718383789062)",1
690524565,818240985585,"(0.4320925176143646, 0.9232176542282104)","(-36.83659362792969, 32.670631408691406, 5.05410099029541)",1,4.227935791015625,1,"(-58.64313888549805, -21.953035354614258, 720.9193115234375)",1,"(0.4277234375476837, 0.925524890422821)","(-39.248329162597656, 31.997413635253906, 4.809061527252197)",1,4.367950439453125,1,"(5.288488864898682, -23.67024803161621, 723.3450317382812)",1
690540501,818241001521,"(0.4348061978816986, 0.9172699451446533)","(-35.33860778808594, 34.406028747558594, 5.685757160186768)",1,4.2353515625,1,"(-58.65192794799805, -21.920387268066406, 721.0503540039062)",1,"(0.4288536012172699, 0.924322783946991)","(-38.624454498291016, 32.34816360473633, 4.936746120452881)",1,4.372772216796875,1,"(5.313872337341309, -23.649635314941406, 723.46630859375)",1
690557537,818241018558,"(0.4344823360443115, 0.9164642691612244)","(-35.517356872558594, 34.6411018371582, 5.771315097808838)",1,4.2584686279296875,1,"(-58.67026138305664, -21.938583374023438, 721.1785278320312)",1,"(0.43240484595298767, 0.9252097606658936)","(-36.66419219970703, 32.08938980102539, 4.842559814453125)",1,4.371185302734375,1,"(5.317319393157959, -23.66431999206543, 723.6143188476562)",1
690574480,818241035501,"(0.43495529890060425, 0.9156500697135925)","(-35.25630569458008, 34.87865447998047, 5.85774040222168)",1,4.247589111328125,1,"(-58.7021369934082, -22.02507972717285, 721.4026489257812)",1,"(0.4319426119327545, 0.9271120429039001)","(-36.9193115234375, 31.534305572509766, 4.640571594238281)",1,4.379364013671875,1,"(5.323333263397217, -23.73465347290039, 723.8320922851562)",1
690590421,818241051442,"(0.43638479709625244, 0.9196838140487671)","(-34.467247009277344, 33.701717376708984, 5.429433822631836)",1,4.2494049072265625,1,"(-58.724769592285156, -22.02313995361328, 721.4345092773438)",1,"(0.42901891469955444, 0.9234055876731873)","(-38.5332145690918, 32.61579132080078, 5.0341877937316895)",1,4.3820343017578125,1,"(5.325406551361084, -23.745563507080078, 723.864501953125)",1
690607406,818241068427,"(0.42995673418045044, 0.9270421862602234)","(-38.015541076660156, 31.554750442504883, 4.647995948791504)",1,4.237640380859375,1,"(-58.74858856201172, -21.99528694152832, 721.4973754882812)",1,"(0.43020305037498474, 0.9296834468841553)","(-37.879573822021484, 30.784074783325195, 4.367465972900391)",1,4.38275146484375,1,"(5.303598880767822, -23.70851707458496, 723.9332275390625)",1
