device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
958196133,818508661694,"(-0.018464095890522003, 1.2514530420303345)","(-285.54534912109375, -63.10070037841797, -29.803831100463867)",1,4.151123046875,1,"(-55.474578857421875, 10.181729316711426, 595.481689453125)",1,"(-0.01052806992083788, 1.10252845287323)","(-281.1646423339844, -19.64805793762207, -13.988329887390137)",1,4.5265655517578125,1,"(9.217350959777832, 13.700047492980957, 598.0680541992188)",1
958212833,818508678394,"(-0.01523067057132721, 1.2496482133865356)","(-283.760498046875, -62.5740966796875, -29.612150192260742)",1,4.1548919677734375,1,"(-55.47319412231445, 10.168513298034668, 595.6107177734375)",1,"(-0.014843733981251717, 1.1031347513198853)","(-283.54693603515625, -19.824905395507812, -14.052711486816406)",1,4.5204315185546875,1,"(9.256749153137207, 13.67190170288086, 598.2174682617188)",1
958229492,818508695054,"(-0.016951242461800575, 1.2519804239273071)","(-284.71026611328125, -63.254600524902344, -29.859777450561523)",1,4.1659698486328125,1,"(-55.43443298339844, 10.16218090057373, 595.6720581054688)",1,"(-0.016814978793263435, 1.1047345399856567)","(-284.6350402832031, -20.29170799255371, -14.222565650939941)",1,4.53289794921875,1,"(9.311164855957031, 13.6495361328125, 598.2726440429688)",1
958246053,818508711615,"(-0.016067244112491608, 1.2591283321380615)","(-284.2223205566406, -65.34015655517578, -30.618879318237305)",1,4.152862548828125,1,"(-55.37164306640625, 10.172444343566895, 595.64892578125)",1,"(-0.015361408703029156, 1.1066497564315796)","(-283.8326416015625, -20.850488662719727, -14.425981521606445)",1,4.54278564453125,1,"(9.378795623779297, 13.629999160766602, 598.2456665039062)",1
958262703,818508728265,"(-0.018348917365074158, 1.2589970827102661)","(-285.4817810058594, -65.3018569946289, -30.60494041442871)",1,4.1598968505859375,1,"(-55.29643249511719, 10.15743350982666, 595.46875)",1,"(-0.01796979270875454, 1.1102778911590576)","(-285.27252197265625, -21.90912437438965, -14.811300277709961)",1,4.5376434326171875,1,"(9.444581985473633, 13.60488510131836, 598.0450439453125)",1
958279406,818508744969,"(-0.018783824518322945, 1.2586551904678345)","(-285.72186279296875, -65.20206451416016, -30.568634033203125)",1,4.1549224853515625,1,"(-55.17917251586914, 10.1426362991333, 595.2680053710938)",1,"(-0.014594271779060364, 1.1068404912948608)","(-283.4092102050781, -20.906164169311523, -14.446224212646484)",1,4.5430145263671875,1,"(9.556812286376953, 13.549737930297852, 597.8539428710938)",1
958295973,818508761535,"(-0.020891278982162476, 1.2697381973266602)","(-286.88519287109375, -68.43587493896484, -31.745615005493164)",1,4.1500244140625,1,"(-55.09111404418945, 10.203150749206543, 595.4843139648438)",1,"(-0.014789971522986889, 1.098101019859314)","(-283.5172424316406, -18.356220245361328, -13.51814079284668)",1,4.56024169921875,1,"(9.68423843383789, 13.513867378234863, 598.03466796875)",1
958312669,818508778231,"(-0.0142188286408782, 1.262532353401184)","(-283.20196533203125, -66.33341217041016, -30.98038101196289)",1,4.1395263671875,1,"(-55.06619644165039, 10.22675609588623, 595.668212890625)",1,"(-0.01654024049639702, 1.1016806364059448)","(-284.4834289550781, -19.400615692138672, -13.89830207824707)",1,4.559112548828125,1,"(9.760903358459473, 13.507351875305176, 598.2316284179688)",1
958329322,818508794885,"(-0.01528917159885168, 1.2664673328399658)","(-283.7928161621094, -67.48145294189453, -31.398298263549805)",1,4.14678955078125,1,"(-55.007080078125, 10.292766571044922, 595.7526245117188)",1,"(-0.01502544991672039, 1.1026324033737183)","(-283.6471862792969, -19.678403854370117, -13.999360084533691)",1,4.5571136474609375,1,"(9.837227821350098, 13.495280265808105, 598.2874755859375)",1
958345888,818508811451,"(-0.01177093107253313, 1.2629255056381226)","(-281.8507385253906, -66.44808959960938, -31.02215003967285)",1,4.1674346923828125,1,"(-54.952178955078125, 10.332104682922363, 595.2326049804688)",1,"(-0.014591769315302372, 1.1005833148956299)","(-283.4078369140625, -19.080495834350586, -13.781755447387695)",1,4.563262939453125,1,"(9.846365928649902, 13.467100143432617, 597.8217163085938)",1
