device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
746200288,818296662231,"(0.40077686309814453, 0.8587188720703125)","(-54.12290573120117, 51.48980712890625, 11.903797149658203)",1,3.50921630859375,1,"(-77.35768127441406, -102.20773315429688, 855.75048828125)",1,"(0.36229896545410156, 0.8300433158874512)","(-75.36286163330078, 59.85669708251953, 14.949050903320312)",1,3.5617523193359375,1,"(-13.221396446228027, -98.20494842529297, 858.6660766601562)",1
746217526,818296679469,"(0.40324097871780396, 0.8725703954696655)","(-52.76274108886719, 47.44826889038086, 10.432788848876953)",1,3.522979736328125,1,"(-77.36192321777344, -102.21941375732422, 855.8304443359375)",1,"(0.36776870489120483, 0.8313193321228027)","(-72.34355163574219, 59.48438262939453, 14.813529968261719)",1,3.579010009765625,1,"(-13.211978912353516, -98.23233795166016, 858.7744140625)",1
746234166,818296696109,"(0.40619826316833496, 0.8665505051612854)","(-51.130271911621094, 49.20473861694336, 11.072050094604492)",1,3.524322509765625,1,"(-77.3696517944336, -102.26445007324219, 856.1441650390625)",1,"(0.3706724941730499, 0.8280596733093262)","(-70.7406234741211, 60.43547058105469, 15.159666061401367)",1,3.6076202392578125,1,"(-13.184021949768066, -98.27912902832031, 859.0742797851562)",1
746250208,818296712152,"(0.4020422101020813, 0.8729228973388672)","(-53.424461364746094, 47.34545135498047, 10.395315170288086)",1,3.524566650390625,1,"(-77.38481903076172, -102.33168029785156, 856.300048828125)",1,"(0.3698693513870239, 0.8332147598266602)","(-71.18396759033203, 58.931312561035156, 14.612192153930664)",1,3.6140899658203125,1,"(-13.195926666259766, -98.32533264160156, 859.2366333007812)",1
746267446,818296729390,"(0.3987181484699249, 0.8740932941436768)","(-55.259376525878906, 47.00393295288086, 10.271027565002441)",1,3.5416412353515625,1,"(-77.39971160888672, -102.35076904296875, 856.4154663085938)",1,"(0.3642398416996002, 0.8451892137527466)","(-74.29148864746094, 55.43746566772461, 13.340534210205078)",1,3.611328125,1,"(-13.205466270446777, -98.3407211303711, 859.3912353515625)",1
746284086,818296746030,"(0.3939979374408722, 0.8648855090141296)","(-57.86491775512695, 49.690547943115234, 11.248882293701172)",1,3.548004150390625,1,"(-77.51109313964844, -102.40792083740234, 857.0620727539062)",1,"(0.366787314414978, 0.853335976600647)","(-72.88526153564453, 53.0604133605957, 12.47542667388916)",1,3.6231842041015625,1,"(-13.289397239685059, -98.39305114746094, 860.034423828125)",1
746300128,818296762072,"(0.40018752217292786, 0.8535445332527161)","(-54.448272705078125, 52.99961471557617, 12.453252792358398)",1,3.5259857177734375,1,"(-77.71501159667969, -102.50779724121094, 857.7315063476562)",1,"(0.37206771969795227, 0.8381503224372864)","(-69.97048950195312, 57.49127960205078, 14.088096618652344)",1,3.601715087890625,1,"(-13.441086769104004, -98.46998596191406, 860.6879272460938)",1
746317366,818296779311,"(0.40626779198646545, 0.860943615436554)","(-51.0919189453125, 50.84071350097656, 11.667471885681152)",1,3.5242462158203125,1,"(-77.76168823242188, -102.52079772949219, 857.680419921875)",1,"(0.37026113271713257, 0.828657329082489)","(-70.96772766113281, 60.26106262207031, 15.096235275268555)",1,3.5638885498046875,1,"(-13.487595558166504, -98.47228240966797, 860.630615234375)",1
746334006,818296795951,"(0.39855727553367615, 0.8624442219734192)","(-55.348121643066406, 50.402870178222656, 11.508103370666504)",1,3.52447509765625,1,"(-77.88886260986328, -102.54634857177734, 857.34912109375)",1,"(0.3759596049785614, 0.8461746573448181)","(-67.8221435546875, 55.14994812011719, 13.235902786254883)",1,3.6002960205078125,1,"(-13.664786338806152, -98.4769515991211, 860.3502807617188)",1
746350048,818296811993,"(0.3988741934299469, 0.8624933362007141)","(-55.173221588134766, 50.3885498046875, 11.502863883972168)",1,3.564453125,1,"(-78.09502410888672, -102.6253433227539, 857.9518432617188)",1,"(0.3718632161617279, 0.864304780960083)","(-70.08335876464844, 49.860023498535156, 11.310521125793457)",1,3.63421630859375,1,"(-13.8058443069458, -98.5267333984375, 860.9134521484375)",1
