device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1559272072,819109748391,"(0.0506182536482811, 0.9784383773803711)","(-247.4116668701172, 16.558509826660156, -0.8101798892021179)",1,3.807861328125,1,"(-128.63108825683594, 1.1906787157058716, 665.2003173828125)",1,"(0.05106748640537262, 0.9558954834938049)","(-247.1636962890625, 23.135982513427734, 1.5838011503219604)",1,4.0838165283203125,1,"(-66.98562622070312, 17.322683334350586, 674.5678100585938)",1
1559289149,819109765468,"(0.052308280020952225, 0.9856878519058228)","(-246.478759765625, 14.443280220031738, -1.5800749063491821)",1,3.836456298828125,1,"(-128.87344360351562, 1.2111905813217163, 665.7940063476562)",1,"(0.04652326554059982, 0.9564430713653564)","(-249.67210388183594, 22.976205825805664, 1.5256515741348267)",1,4.0727081298828125,1,"(-67.10018920898438, 17.37179183959961, 675.107177734375)",1
1559305191,819109781511,"(0.0499657578766346, 0.9837815165519714)","(-247.77183532714844, 14.999489784240723, -1.377602458000183)",1,3.840576171875,1,"(-129.0561981201172, 1.181588053703308, 666.3246459960938)",1,"(0.04571756720542908, 0.9584759473800659)","(-250.11685180664062, 22.383058547973633, 1.3097678422927856)",1,4.0662689208984375,1,"(-67.20318603515625, 17.425884246826172, 675.5657348632812)",1
1559322038,819109798358,"(0.04949165880680084, 0.979653537273407)","(-248.03353881835938, 16.203920364379883, -0.939213216304779)",1,3.8271484375,1,"(-129.11273193359375, 1.1639028787612915, 666.5130615234375)",1,"(0.04359466955065727, 0.9639172554016113)","(-251.28872680664062, 20.795427322387695, 0.7319155335426331)",1,4.06475830078125,1,"(-67.27877044677734, 17.424358367919922, 675.9712524414062)",1
1559339069,819109815389,"(0.045102909207344055, 0.985878050327301)","(-250.45614624023438, 14.387804985046387, -1.6002442836761475)",1,3.868408203125,1,"(-129.3140869140625, 1.0401517152786255, 667.3247680664062)",1,"(0.0430607832968235, 0.955852746963501)","(-251.5834197998047, 23.148469924926758, 1.5883841514587402)",1,4.0794219970703125,1,"(-67.38959503173828, 17.364999771118164, 676.671142578125)",1
1559355111,819109831432,"(0.04734703525900841, 0.9723039865493774)","(-249.2174072265625, 18.34839630126953, -0.15878190100193024)",1,3.9192657470703125,1,"(-129.53269958496094, 0.9663218855857849, 668.1211547851562)",1,"(0.04281046241521835, 0.9592058062553406)","(-251.72161865234375, 22.170143127441406, 1.2322368621826172)",1,4.0831146240234375,1,"(-67.50425720214844, 17.349315643310547, 677.3990478515625)",1
1559371908,819109848229,"(0.04243983328342438, 0.9785102009773254)","(-251.9261932373047, 16.537567138671875, -0.8178810477256775)",1,3.8695220947265625,1,"(-129.58494567871094, 0.9839485883712769, 668.2479858398438)",1,"(0.04202498495578766, 0.9610733985900879)","(-252.1551971435547, 21.625240325927734, 1.0339350700378418)",1,4.084808349609375,1,"(-67.55824279785156, 17.381961822509766, 677.6478271484375)",1
1559388989,819109865311,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.0461994893848896, 0.9518108367919922)","(-249.85084533691406, 24.32777976989746, 2.0176167488098145)",1,4.095947265625,1,"(-67.6328125, 17.427915573120117, 677.7822875976562)",1
1559405031,819109881353,"(0.04714689403772354, 0.970443606376648)","(-249.327880859375, 18.89121437072754, 0.03880179673433304)",1,3.9066314697265625,1,"(-129.8282928466797, 1.1036489009857178, 668.59521484375)",1,"(0.04340808466076851, 0.9590247273445129)","(-251.39169311523438, 22.22294044494629, 1.251463532447815)",1,4.09271240234375,1,"(-67.70716857910156, 17.484695434570312, 677.9308471679688)",1
1559421874,819109898197,"(0.04731405898928642, 0.9764474034309387)","(-249.23561096191406, 17.139440536499023, -0.5987895727157593)",1,3.8875732421875,1,"(-129.8721923828125, 1.1018908023834229, 668.7233276367188)",1,"(0.047768447548151016, 0.9554896354675293)","(-248.98475646972656, 23.254423141479492, 1.6268929243087769)",1,4.0927886962890625,1,"(-67.78804779052734, 17.490201950073242, 678.2757568359375)",1
