device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1665207312,819215685576,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1665238076,819215716340,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1665255555,819215733820,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.4749799072742462, 0.5966164469718933)","(-13.162605285644531, 127.9651107788086, 39.73846435546875)",1,3.8180084228515625,1,"(-82.16368103027344, -32.92939376831055, 598.4368896484375)",1
1665272291,819215750556,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1665295652,819215773918,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1665326204,819215804470,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1665343581,819215821847,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.47360578179359436, 0.6106668710708618)","(-13.921096801757812, 123.86554718017578, 38.246337890625)",1,3.7823028564453125,1,"(-84.76130676269531, -32.52180099487305, 598.0943603515625)",1
1665360317,819215838584,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1665383681,819215861948,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1665401212,819215879480,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.48522546887397766, 0.5994334816932678)","(-7.507016181945801, 127.14315795898438, 39.43929672241211)",1,3.754913330078125,1,"(-83.18000030517578, -32.89590835571289, 598.2972412109375)",1
1665417995,819215896263,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.48404571413993835, 0.5910264253616333)","(-8.158212661743164, 129.5961151123047, 40.332122802734375)",1,3.74603271484375,1,"(-83.31024169921875, -33.081932067871094, 601.72607421875)",1
1665433853,819215912121,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.4860832691192627, 0.5677962303161621)","(-7.033517837524414, 136.3741912841797, 42.79911804199219)",1,3.841827392578125,1,"(-84.7905044555664, -33.942378997802734, 618.20361328125)",1
1665451178,819215929446,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.48508304357528687, 0.5622496604919434)","(-7.585662364959717, 137.9925537109375, 43.38814163208008)",1,3.8675994873046875,1,"(-84.49400329589844, -33.97540283203125, 619.6216430664062)",1
1665468007,819215946276,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.4857924282550812, 0.5583657622337341)","(-7.194080829620361, 139.1257781982422, 43.80057144165039)",1,3.8439178466796875,1,"(-83.94779205322266, -33.92094421386719, 620.0131225585938)",1
1665484021,819215962290,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.4809614419937134, 0.5617144703865051)","(-9.860755920410156, 138.148681640625, 43.44498825073242)",1,3.83282470703125,1,"(-83.0787582397461, -33.65242004394531, 619.8059692382812)",1
1665501144,819215979413,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.46570390462875366, 0.5026038289070129)","(-18.282976150512695, 155.395751953125, 49.72243881225586)",1,3.8480682373046875,1,"(-82.81189727783203, -33.41190719604492, 620.9955444335938)",1
