device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
322032772,916630720376,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
322063099,916630750727,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
322079741,916630767372,"(0.5094686150550842, 0.7410037517547607)","(5.875313758850098, 85.83631134033203, 24.404834747314453)",1,4.0444488525390625,1,"(12.594756126403809, -32.40740203857422, 603.98583984375)",1,"(0.48643216490745544, 0.7604898810386658)","(-6.840907573699951, 80.15074157714844, 22.335460662841797)",1,4.0479888916015625,1,"(61.87528991699219, -29.407468795776367, 601.0742797851562)",1
322096427,916630784060,"(0.49351903796195984, 0.6917725205421448)","(-2.9289472103118896, 100.20086669921875, 29.633100509643555)",1,4.1517333984375,1,"(13.355245590209961, -34.095787048339844, 634.6937866210938)",1,"(0.48740532994270325, 0.7033037543296814)","(-6.3037109375, 96.8363037109375, 28.40852928161621)",1,4.0878753662109375,1,"(64.66926574707031, -30.70962142944336, 627.4163208007812)",1
322113192,916630800828,"(0.5061085224151611, 0.5169301629066467)","(4.020491123199463, 151.21568298339844, 48.20097732543945)",1,5.052947998046875,1,"(16.29224395751953, -41.80253982543945, 775.5503540039062)",1,"(0.4955599009990692, 0.5284687280654907)","(-1.8023871183395386, 147.84902954101562, 46.97562026977539)",1,5.01763916015625,1,"(79.61965942382812, -37.89420700073242, 771.7276000976562)",1
322129707,916630817340,"(0.5076390504837036, 0.5033871531486511)","(4.865353107452393, 155.16722106933594, 49.63920593261719)",1,5.04632568359375,1,"(16.33056640625, -41.98560333251953, 777.9911499023438)",1,"(0.4953871965408325, 0.5315269231796265)","(-1.8977422714233398, 146.95669555664062, 46.65082550048828)",1,5.0190277099609375,1,"(79.83982849121094, -38.03616714477539, 773.901123046875)",1
322146439,916630834070,"(0.5070644021034241, 0.5087897181510925)","(4.548163890838623, 153.59088134765625, 49.065452575683594)",1,5.031158447265625,1,"(16.34872817993164, -42.24189758300781, 781.2928466796875)",1,"(0.49454280734062195, 0.5233849883079529)","(-2.3638217449188232, 149.33230590820312, 47.51548767089844)",1,4.998687744140625,1,"(80.14720153808594, -38.30681228637695, 777.1968994140625)",1
322163144,916630850773,"(0.5068567991256714, 0.5151589512825012)","(4.433572292327881, 151.7324676513672, 48.38913345336914)",1,4.9993438720703125,1,"(16.31637954711914, -42.36710739135742, 782.4915771484375)",1,"(0.4931940734386444, 0.5200472474098206)","(-3.1083149909973145, 150.30615234375, 47.87001419067383)",1,4.9583892822265625,1,"(80.22095489501953, -38.45369338989258, 778.4009399414062)",1
322179673,916630867303,"(0.5025838017463684, 0.5015290379524231)","(2.074857473373413, 155.7093505859375, 49.836612701416016)",1,4.987640380859375,1,"(16.316993713378906, -42.43784713745117, 782.9087524414062)",1,"(0.4952186048030853, 0.5253746509552002)","(-1.9907844066619873, 148.7517547607422, 47.304229736328125)",1,4.95068359375,1,"(80.24195098876953, -38.493133544921875, 778.7669677734375)",1
322196451,916630884083,"(0.501448392868042, 0.4905567467212677)","(1.448103666305542, 158.91079711914062, 51.00185775756836)",1,4.961456298828125,1,"(16.34103012084961, -42.582801818847656, 783.9508666992188)",1,"(0.49741312861442566, 0.5221914649009705)","(-0.7793521285057068, 149.6805419921875, 47.642250061035156)",1,4.9126434326171875,1,"(80.35811614990234, -38.636260986328125, 779.7996215820312)",1
322213064,916630900697,"(0.5062227249145508, 0.4884980320930481)","(4.083549499511719, 159.51150512695312, 51.22040557861328)",1,4.92694091796875,1,"(16.38560676574707, -42.63920974731445, 784.0482177734375)",1,"(0.49712637066841125, 0.5161533355712891)","(-0.937642514705658, 151.4423370361328, 48.28351974487305)",1,4.8726348876953125,1,"(80.42276000976562, -38.7116813659668, 779.8782958984375)",1
322229639,916630917262,"(0.5060325264930725, 0.49679943919181824)","(3.978588819503784, 157.08934020996094, 50.338802337646484)",1,4.9268341064453125,1,"(16.40032196044922, -42.626617431640625, 783.8319091796875)",1,"(0.4979836642742157, 0.5140131115913391)","(-0.4644365608692169, 152.0667724609375, 48.51081466674805)",1,4.859405517578125,1,"(80.42322540283203, -38.722286224365234, 779.6824951171875)",1
322246463,916630934073,"(0.5071436166763306, 0.49497175216674805)","(4.591882705688477, 157.6226348876953, 50.532928466796875)",1,4.8918914794921875,1,"(16.4405460357666, -42.57709884643555, 783.3228759765625)",1,"(0.49625521898269653, 0.5120981335639954)","(-1.4185552597045898, 152.62551879882812, 48.71417999267578)",1,4.8099517822265625,1,"(80.43177032470703, -38.69453811645508, 779.1453247070312)",1
322262984,916630950581,"(0.5085715055465698, 0.48579269647598267)","(5.380082130432129, 160.30087280273438, 51.50765609741211)",1,4.853729248046875,1,"(16.468189239501953, -42.54618835449219, 783.5262451171875)",1,"(0.49877476692199707, 0.5059729814529419)","(-0.02776438370347023, 154.4127197265625, 49.36466979980469)",1,4.78033447265625,1,"(80.48020935058594, -38.698768615722656, 779.3516235351562)",1
322279605,916630967201,"(0.506719172000885, 0.4964948892593384)","(4.357567310333252, 157.17823791503906, 50.37112808227539)",1,4.844146728515625,1,"(16.4735050201416, -42.53535461425781, 783.945556640625)",1,"(0.49968892335891724, 0.5144159197807312)","(0.4768335223197937, 151.94924926757812, 48.468040466308594)",1,4.784454345703125,1,"(80.52204132080078, -38.714508056640625, 779.7186889648438)",1
322296475,916630984071,"(0.5036832690238953, 0.49340203404426575)","(2.6817526817321777, 158.08062744140625, 50.69962692260742)",1,4.826568603515625,1,"(16.473587036132812, -42.529762268066406, 785.0183715820312)",1,"(0.4998616874217987, 0.5038732290267944)","(0.5722029209136963, 155.025390625, 49.58761215209961)",1,4.7580108642578125,1,"(80.61913299560547, -38.76789093017578, 780.8152465820312)",1
322312904,916631000500,"(0.5055175423622131, 0.49083212018013)","(3.694289207458496, 158.83047485351562, 50.972564697265625)",1,4.8128509521484375,1,"(16.464916229248047, -42.53702163696289, 785.5162353515625)",1,"(0.49623948335647583, 0.5023514628410339)","(-1.4272164106369019, 155.46939086914062, 49.74921798706055)",1,4.7393951416015625,1,"(80.66437530517578, -38.816898345947266, 781.3182373046875)",1
322329571,916631017170,"(0.5074096918106079, 0.4884093403816223)","(4.7387895584106445, 159.53738403320312, 51.22985076904297)",1,4.8169708251953125,1,"(16.465784072875977, -42.53620910644531, 785.5828247070312)",1,"(0.5010874271392822, 0.5074529051780701)","(1.2488303184509277, 153.9809112548828, 49.20747375488281)",1,4.7369232177734375,1,"(80.66658020019531, -38.824188232421875, 781.3804931640625)",1
322346487,916631034090,"(0.506627082824707, 0.4846758544445038)","(4.306767463684082, 160.62672424316406, 51.626338958740234)",1,4.798187255859375,1,"(16.506986618041992, -42.53532791137695, 785.9517822265625)",1,"(0.49823325872421265, 0.5024494528770447)","(-0.326660692691803, 155.4408416748047, 49.73879623413086)",1,4.728302001953125,1,"(80.74152374267578, -38.83256530761719, 781.736328125)",1
