device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
27094080708,12080933425,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
27094111169,12080963943,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
27094127812,12080980592,"(0.02188706584274769, 0.18077844381332397)","(-263.4576110839844, 249.85833740234375, 84.10391998291016)",1,3.99041748046875,1,"(-31.208309173583984, -40.5434684753418, 602.8103637695312)",1,"(-0.010953623801469803, 0.08942621946334839)","(-281.6283874511719, 276.57537841796875, 93.82815551757812)",1,4.017547607421875,1,"(25.65904998779297, -39.52107620239258, 603.1422119140625)",1
27094144402,12080997187,"(-0.0011345292441546917, 0.1531323939561844)","(-276.19549560546875, 257.9437561035156, 87.04680633544922)",1,3.9972381591796875,1,"(-31.92396354675293, -41.46311569213867, 616.6871337890625)",1,"(-0.034580379724502563, 0.038387544453144073)","(-294.7010803222656, 291.5022277832031, 99.26111602783203)",1,4.0501861572265625,1,"(26.48591423034668, -40.73675537109375, 621.7468872070312)",1
27094160991,12081013781,"(-0.0762544646859169, -0.0017854757606983185)","(-317.7593688964844, 303.2513122558594, 103.53739929199219)",1,4.4107208251953125,1,"(-35.00566482543945, -45.41340637207031, 675.4739379882812)",1,"(-0.08595475554466248, -0.1255117505788803)","(-323.12652587890625, 339.4364929199219, 116.70772552490234)",1,4.412841796875,1,"(28.755748748779297, -44.25678634643555, 675.203857421875)",1
27094177682,12081030443,"(-0.07966689765453339, -0.01706545241177082)","(-319.6474914550781, 307.7201232910156, 105.16392517089844)",1,4.4322509765625,1,"(-35.16897964477539, -45.700225830078125, 679.632568359375)",1,"(-0.10170101374387741, -0.14276108145713806)","(-331.83892822265625, 344.48126220703125, 118.54389953613281)",1,4.4661712646484375,1,"(29.064884185791016, -44.584529876708984, 679.9879760742188)",1
27094194220,12081046945,"(-0.08209884166717529, -0.02800026908516884)","(-320.9930419921875, 310.91815185546875, 106.32791137695312)",1,4.4449462890625,1,"(-35.2099723815918, -45.88663864135742, 682.0338134765625)",1,"(-0.1089516133069992, -0.1533719301223755)","(-335.8506774902344, 347.5845947265625, 119.67339324951172)",1,4.4752960205078125,1,"(29.25218963623047, -44.77095413208008, 682.3488159179688)",1
27094210948,12081063633,"(-0.09951496869325638, -0.02494283951818943)","(-330.62939453125, 310.02392578125, 106.00247955322266)",1,4.433563232421875,1,"(-35.279605865478516, -46.048580169677734, 683.9249877929688)",1,"(-0.12321903556585312, -0.153242290019989)","(-343.7448425292969, 347.546630859375, 119.65957641601562)",1,4.4690704345703125,1,"(29.332115173339844, -44.94053649902344, 684.1810913085938)",1
27094227551,12081080232,"(-0.10143960267305374, -0.020945236086845398)","(-331.6943054199219, 308.85479736328125, 105.57697296142578)",1,4.4226226806640625,1,"(-35.23854446411133, -46.01964569091797, 683.4061279296875)",1,"(-0.12210653722286224, -0.1489551067352295)","(-343.1292724609375, 346.2928161621094, 119.2032241821289)",1,4.45458984375,1,"(29.316049575805664, -44.92715835571289, 683.5869140625)",1
27094244039,12081096719,"(-0.10066071152687073, -0.015443917363882065)","(-331.2633361816406, 307.2458801269531, 104.9913330078125)",1,4.400146484375,1,"(-35.210655212402344, -45.97727966308594, 682.6722412109375)",1,"(-0.11823853105306625, -0.14496982097625732)","(-340.9891357421875, 345.12725830078125, 118.77900695800781)",1,4.43450927734375,1,"(29.274795532226562, -44.91720962524414, 682.913818359375)",1
