device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
735185206,818285646967,"(0.5255024433135986, 0.5880702137947083)","(14.7260160446167, 130.4586639404297, 40.64609146118164)",1,3.4903564453125,1,"(-81.33384704589844, -102.12757110595703, 849.6044921875)",1,"(0.4946192800998688, 0.5781471729278564)","(-2.321592330932617, 133.35401916503906, 41.69987487792969)",1,3.539642333984375,1,"(-17.326913833618164, -96.51710510253906, 852.71923828125)",1
735201846,818285663607,"(0.5235593318939209, 0.5889983773231506)","(13.653401374816895, 130.1879119873047, 40.54749298095703)",1,3.505706787109375,1,"(-81.35919952392578, -102.24433135986328, 850.1919555664062)",1,"(0.4951211214065552, 0.5764347910881042)","(-2.044560432434082, 133.85362243652344, 41.88174819946289)",1,3.555999755859375,1,"(-17.302108764648438, -96.66787719726562, 853.2633056640625)",1
735217888,818285679649,"(0.5290213823318481, 0.5780715346336365)","(16.668468475341797, 133.37606811523438, 41.70793151855469)",1,3.504486083984375,1,"(-81.3642578125, -102.31803131103516, 850.6729736328125)",1,"(0.49998462200164795, 0.5463139414787292)","(0.6401190757751465, 142.64219665527344, 45.08049011230469)",1,3.5294647216796875,1,"(-17.27903175354004, -96.78352355957031, 853.72998046875)",1
735235126,818285696888,"(0.5264638066291809, 0.5909183621406555)","(15.256682395935059, 129.627685546875, 40.3436164855957)",1,3.53515625,1,"(-81.3412857055664, -102.32585906982422, 850.8062133789062)",1,"(0.4926707446575165, 0.5484611988067627)","(-3.3971970081329346, 142.01568603515625, 44.8524284362793)",1,3.5224151611328125,1,"(-17.232669830322266, -96.80442810058594, 853.9085693359375)",1
735251766,818285713528,"(0.5230357646942139, 0.580160915851593)","(13.364418029785156, 132.76644897460938, 41.48603439331055)",1,3.540374755859375,1,"(-81.253662109375, -102.30876922607422, 851.0663452148438)",1,"(0.4936198592185974, 0.5488057732582092)","(-2.873290777206421, 141.91514587402344, 44.81584548950195)",1,3.535491943359375,1,"(-17.138639450073242, -96.82068634033203, 854.1240844726562)",1
735267808,818285729570,"(0.47934457659721375, 0.5620729923248291)","(-10.753253936767578, 138.04408264160156, 43.406883239746094)",1,3.5515289306640625,1,"(-81.20388793945312, -102.13931274414062, 851.0486450195312)",1,"(0.45877331495285034, 0.5385460257530212)","(-22.108686447143555, 144.90866088867188, 45.90547180175781)",1,3.5533447265625,1,"(-17.119306564331055, -96.69392395019531, 854.1224975585938)",1
735285046,818285746808,"(0.46577104926109314, 0.5394918322563171)","(-18.245906829833984, 144.6327362060547, 45.804969787597656)",1,3.5652008056640625,1,"(-81.19786071777344, -102.05252838134766, 851.0369873046875)",1,"(0.4335176646709442, 0.4877995252609253)","(-36.049869537353516, 159.7152862548828, 51.294647216796875)",1,3.53924560546875,1,"(-17.13444709777832, -96.61964416503906, 854.1026611328125)",1
735301686,818285763449,"(0.44867774844169617, 0.48585665225982666)","(-27.681480407714844, 160.28221130371094, 51.500972747802734)",1,3.4931640625,1,"(-81.14754486083984, -101.8646011352539, 851.4683227539062)",1,"(0.4219726622104645, 0.48624560236930847)","(-42.422786712646484, 160.16873168945312, 51.459617614746094)",1,3.5602264404296875,1,"(-17.100128173828125, -96.51560974121094, 854.5081787109375)",1
735317728,818285779491,"(0.4378889203071594, 0.49489983916282654)","(-33.63697052001953, 157.6436004638672, 50.54061508178711)",1,3.5098419189453125,1,"(-81.02483367919922, -101.69239807128906, 851.3341064453125)",1,"(0.4192178249359131, 0.48657453060150146)","(-43.943450927734375, 160.07273864746094, 51.424713134765625)",1,3.5597076416015625,1,"(-16.99593162536621, -96.43025207519531, 854.3914184570312)",1
735334966,818285796729,"(0.4438212811946869, 0.48881688714027405)","(-30.362260818481445, 159.41842651367188, 51.18661117553711)",1,3.4822540283203125,1,"(-81.00247955322266, -101.65311431884766, 851.2150268554688)",1,"(0.41426193714141846, 0.4739408791065216)","(-46.67914962768555, 163.7589569091797, 52.76636505126953)",1,3.5352020263671875,1,"(-16.97123908996582, -96.39815521240234, 854.2425537109375)",1
735351606,818285813370,"(0.45017683506011963, 0.48974594473838806)","(-26.85395622253418, 159.1473846435547, 51.08789825439453)",1,3.4885406494140625,1,"(-81.00350189208984, -101.5207290649414, 850.8698120117188)",1,"(0.41999638080596924, 0.47578468918800354)","(-43.51369094848633, 163.22093200683594, 52.57057189941406)",1,3.538421630859375,1,"(-16.983646392822266, -96.33245849609375, 853.9376831054688)",1
735367648,818285829412,"(0.4508967995643616, 0.5170539021492004)","(-26.45654296875, 151.17955017089844, 48.18783950805664)",1,3.536590576171875,1,"(-81.14139556884766, -101.47042083740234, 850.9356689453125)",1,"(0.4202346205711365, 0.4768587648868561)","(-43.38218307495117, 162.90756225585938, 52.4565315246582)",1,3.5323333740234375,1,"(-17.088592529296875, -96.31826782226562, 854.0238647460938)",1
735384886,818285846650,"(0.44638410210609436, 0.5067254304885864)","(-28.947568893432617, 154.1931610107422, 49.28471374511719)",1,3.5127410888671875,1,"(-81.18594360351562, -101.46554565429688, 850.93212890625)",1,"(0.41615116596221924, 0.47861605882644653)","(-45.63625717163086, 162.39483642578125, 52.269920349121094)",1,3.5422210693359375,1,"(-17.139259338378906, -96.31331634521484, 854.0313110351562)",1
735401526,818285863290,"(0.44123148918151855, 0.5022113919258118)","(-31.791841506958008, 155.5102996826172, 49.764137268066406)",1,3.498016357421875,1,"(-81.31326293945312, -101.47618103027344, 850.8284912109375)",1,"(0.41689416766166687, 0.4805728793144226)","(-45.22614669799805, 161.82391357421875, 52.06201171875)",1,3.555816650390625,1,"(-17.29608726501465, -96.28627014160156, 853.9368896484375)",1
735417568,818285879333,"(0.44415974617004395, 0.5244489908218384)","(-30.17543601989746, 149.02186584472656, 47.402523040771484)",1,3.5176239013671875,1,"(-81.42034912109375, -101.45101165771484, 850.6460571289062)",1,"(0.4130900204181671, 0.43887174129486084)","(-47.32604217529297, 173.99130249023438, 56.49066925048828)",1,3.4832611083984375,1,"(-17.416696548461914, -96.254638671875, 853.7685546875)",1
735434806,818285896571,"(0.43836599588394165, 0.5118316411972046)","(-33.37360763549805, 152.7033233642578, 48.74245834350586)",1,3.521026611328125,1,"(-81.45709991455078, -101.46952819824219, 850.6723022460938)",1,"(0.41797783970832825, 0.43818482756614685)","(-44.627960205078125, 174.19171142578125, 56.56362533569336)",1,3.4869232177734375,1,"(-17.479167938232422, -96.25331115722656, 853.8067016601562)",1
735451446,818285913211,"(0.445861279964447, 0.4681972861289978)","(-29.236204147338867, 165.43478393554688, 53.376304626464844)",1,3.44842529296875,1,"(-81.55062866210938, -101.5012435913086, 850.6350708007812)",1,"(0.42435312271118164, 0.46099114418029785)","(-41.108734130859375, 167.537353515625, 54.14162826538086)",1,3.542572021484375,1,"(-17.576826095581055, -96.2326889038086, 853.7647705078125)",1
735467488,818285929253,"(0.503850519657135, 0.36877647042274475)","(2.774102210998535, 194.4434051513672, 63.934627532958984)",1,3.4972686767578125,1,"(-81.31718444824219, -101.2211685180664, 849.8987426757812)",1,"(0.48126691579818726, 0.3565047085285187)","(-9.692150115966797, 198.02401733398438, 65.23784637451172)",1,3.5334930419921875,1,"(-17.54592514038086, -95.924560546875, 853.0160522460938)",1
735484726,818285946492,"(0.5113288760185242, 0.33946916460990906)","(6.902136325836182, 202.99461364746094, 67.04700469970703)",1,3.5087890625,1,"(-81.31908416748047, -101.20896911621094, 849.9981689453125)",1,"(0.4848955571651459, 0.3203885853290558)","(-7.689120769500732, 208.5618438720703, 69.07329559326172)",1,3.5469818115234375,1,"(-17.568696975708008, -95.89741516113281, 853.14208984375)",1
