device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1647161297,819197639213,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647177954,819197655870,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647193973,819197671890,"(0.41520148515701294, 0.26496437191963196)","(-46.16048812866211, 224.73333740234375, 74.959228515625)",1,4.9020843505859375,1,"(-43.33121871948242, 37.91541290283203, 602.2276000976562)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647211165,819197689082,"(0.42822399735450745, 0.2764526307582855)","(-38.972007751464844, 221.38131713867188, 73.73918914794922)",1,5.01837158203125,1,"(-41.87116622924805, 38.58871078491211, 602.2868041992188)",1,"(0.4756786525249481, 0.2781769633293152)","(-12.776898384094238, 220.87823486328125, 73.5560302734375)",1,5.2664031982421875,1,"(31.852975845336914, 43.42839813232422, 602.5741577148438)",1
1647227765,819197705682,"(0.44102612137794495, 0.35280367732048035)","(-31.905195236206055, 199.10391235351562, 65.63092041015625)",1,4.74346923828125,1,"(-37.18653106689453, 37.52199172973633, 570.7244873046875)",1,"(0.43060359358787537, 0.37751656770706177)","(-37.65846252441406, 191.89328002929688, 63.006446838378906)",1,4.8114776611328125,1,"(31.507654190063477, 40.97079086303711, 561.549072265625)",1
1647243916,819197721834,"(0.4319082498550415, 0.4360794723033905)","(-36.93830490112305, 174.80599975585938, 56.78717041015625)",1,4.4221954345703125,1,"(-31.60638427734375, 35.681671142578125, 534.5704956054688)",1,"(0.42349517345428467, 0.4379056692123413)","(-41.58234786987305, 174.2731475830078, 56.59324645996094)",1,4.5663299560546875,1,"(32.98625564575195, 39.64601516723633, 535.8574829101562)",1
1647261044,819197738962,"(0.4359106421470642, 0.45046502351760864)","(-34.72897720336914, 170.60865783691406, 55.25944137573242)",1,4.349700927734375,1,"(-29.02675437927246, 35.26748275756836, 528.074462890625)",1,"(0.4306473433971405, 0.45293664932250977)","(-37.634315490722656, 169.88746643066406, 54.99698257446289)",1,4.492462158203125,1,"(34.59897232055664, 39.19136428833008, 528.0192260742188)",1
1647277592,819197755510,"(0.4373094141483307, 0.4482925534248352)","(-33.956825256347656, 171.24252319335938, 55.49016189575195)",1,4.3372344970703125,1,"(-26.544675827026367, 34.94086456298828, 527.0289916992188)",1,"(0.43102210760116577, 0.4540153741836548)","(-37.427452087402344, 169.57273864746094, 54.882415771484375)",1,4.4618072509765625,1,"(37.745304107666016, 38.80549621582031, 526.240966796875)",1
1647293818,819197771737,"(0.43536376953125, 0.448699027299881)","(-35.03081130981445, 171.1239013671875, 55.44700622558594)",1,4.3052825927734375,1,"(-23.16797637939453, 33.871028900146484, 524.7653198242188)",1,"(0.43135198950767517, 0.45335492491722107)","(-37.245365142822266, 169.7654266357422, 54.952552795410156)",1,4.4192047119140625,1,"(40.42927551269531, 37.902679443359375, 524.1408081054688)",1
1647310913,819197788832,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647327411,819197805330,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647343710,819197821630,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647360783,819197838703,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647377230,819197855150,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647393607,819197871527,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647410653,819197888574,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647427048,819197904969,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647443527,819197921448,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647460522,819197938444,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647476955,819197954877,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647493484,819197971406,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647510382,819197988305,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647526871,819198004794,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647543473,819198021396,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647560251,819198038174,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647576883,819198054807,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647593485,819198071409,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647610121,819198088045,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647626895,819198104820,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647643520,819198121445,"(0.5118131041526794, 0.5483294129371643)","(7.169459819793701, 142.0541229248047, 44.866455078125)",1,3.435821533203125,1,"(65.24735260009766, -3.781571626663208, 520.9002685546875)",1,"(0.5033783316612244, 0.5440608859062195)","(2.5134353637695312, 143.2996063232422, 45.31973648071289)",1,3.57159423828125,1,"(119.41846466064453, -1.5333292484283447, 511.6416320800781)",1
1647660087,819198138013,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647676907,819198154833,"(0.5324482917785645, 0.5524700880050659)","(18.56014633178711, 140.84597778320312, 44.42673110961914)",1,3.45831298828125,1,"(69.1982421875, -5.205012798309326, 521.9521484375)",1,"(0.5146894454956055, 0.5570780038833618)","(8.757165908813477, 139.5015106201172, 43.937339782714844)",1,3.5514373779296875,1,"(122.44905090332031, -3.2016072273254395, 511.7891540527344)",1
1647693555,819198171481,"(0.5246790051460266, 0.5304968357086182)","(14.271475791931152, 147.25723266601562, 46.76025390625)",1,3.54913330078125,1,"(73.11444091796875, -6.096617698669434, 537.5834350585938)",1,"(0.5148303508758545, 0.5287726521492004)","(8.834961891174316, 147.76036071777344, 46.94334030151367)",1,3.645660400390625,1,"(128.06216430664062, -4.427644729614258, 528.7138061523438)",1
1647710053,819198187980,"(0.5246134400367737, 0.5190789699554443)","(14.235308647155762, 150.58871459960938, 47.97281265258789)",1,3.5958099365234375,1,"(75.11980438232422, -6.572274684906006, 546.3301391601562)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647726919,819198204846,"(0.5233779549598694, 0.4870046079158783)","(13.553299903869629, 159.94723510742188, 51.379032135009766)",1,3.6971893310546875,1,"(78.98348236083984, -7.569430351257324, 565.3821411132812)",1,"(0.5106635689735413, 0.4957754611968994)","(6.534939289093018, 157.3881072998047, 50.44758605957031)",1,3.7637481689453125,1,"(135.29464721679688, -5.945540904998779, 554.3853149414062)",1
1647743563,819198221490,"(0.504706859588623, 0.5234136581420898)","(3.2467925548553467, 149.32394409179688, 47.51249694824219)",1,3.739532470703125,1,"(80.66460418701172, -8.416924476623535, 575.6312866210938)",1,"(0.4842028021812439, 0.559161901473999)","(-8.071534156799316, 138.89346313476562, 43.71607971191406)",1,3.8340606689453125,1,"(137.51806640625, -6.895737648010254, 565.8738403320312)",1
1647760019,819198237947,"(0.4872916042804718, 0.5814571976661682)","(-6.36647367477417, 132.38821411132812, 41.34838104248047)",1,3.7390289306640625,1,"(81.2022476196289, -8.946422576904297, 580.0072631835938)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647776931,819198254859,"(0.4834478199481964, 0.6934705376625061)","(-8.488245964050293, 99.70536804199219, 29.45282554626465)",1,3.7623291015625,1,"(82.04520416259766, -10.12397289276123, 590.862060546875)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647793483,819198271412,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.45974302291870117, 0.6929585933685303)","(-21.573408126831055, 99.85476684570312, 29.50714111328125)",1,3.813018798828125,1,"(138.18460083007812, -9.100428581237793, 587.4930419921875)",1
1647809985,819198287914,"(0.43355244398117065, 0.7258595824241638)","(-36.03071594238281, 90.25499725341797, 26.01318359375)",1,3.7635650634765625,1,"(79.68760681152344, -11.779095649719238, 598.3327026367188)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647826943,819198304872,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647843403,819198321333,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647859951,819198337881,"(0.43202340602874756, 0.7198231220245361)","(-36.874732971191406, 92.01634216308594, 26.65411376953125)",1,3.710052490234375,1,"(72.5870590209961, -14.181681632995605, 599.1896362304688)",1,"(0.4456179141998291, 0.7186614871025085)","(-29.370521545410156, 92.35527038574219, 26.77752685546875)",1,3.9924774169921875,1,"(127.9429702758789, -11.901058197021484, 589.775146484375)",1
1647876955,819198354885,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647893323,819198371254,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647909917,819198387848,"(0.41344916820526123, 0.7493992447853088)","(-47.127784729003906, 83.3866958618164, 23.5133056640625)",1,3.6945648193359375,1,"(64.12528991699219, -17.235902786254883, 600.0806274414062)",1,"(0.4145347476005554, 0.7644821405410767)","(-46.528533935546875, 78.98587799072266, 21.9114990234375)",1,3.9367218017578125,1,"(118.57679748535156, -14.835244178771973, 591.6770629882812)",1
1647926967,819198404898,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647943210,819198421141,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647959883,819198437815,"(0.46556001901626587, 0.7189089059829712)","(-18.362388610839844, 92.2830810546875, 26.75128173828125)",1,3.6483154296875,1,"(54.79440689086914, -21.593814849853516, 600.8692626953125)",1,"(0.46710020303726196, 0.7403758764266968)","(-17.512252807617188, 86.01953125, 24.47149658203125)",1,3.768951416015625,1,"(108.60140991210938, -19.027910232543945, 593.4826049804688)",1
1647976979,819198454911,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1647993067,819198470999,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1648009849,819198487782,"(0.46907567977905273, 0.7249651551246643)","(-16.42174530029297, 90.51599884033203, 26.108154296875)",1,3.6082763671875,1,"(43.866172790527344, -26.057950973510742, 601.59423828125)",1,"(0.4682424068450928, 0.7426183819770813)","(-16.8817138671875, 85.36521911621094, 24.23333740234375)",1,3.7611236572265625,1,"(97.29393005371094, -23.80721664428711, 595.28173828125)",1
1648026991,819198504924,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1648042931,819198520864,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1648059815,819198537749,"(0.4541827440261841, 0.7290692329406738)","(-24.642704010009766, 89.31854248046875, 25.6722412109375)",1,3.5696868896484375,1,"(31.89958953857422, -29.16093635559082, 602.2095336914062)",1,"(0.45999571681022644, 0.7508928179740906)","(-21.433914184570312, 82.950927734375, 23.3546142578125)",1,3.852996826171875,1,"(85.10370635986328, -27.44594955444336, 597.0028686523438)",1
1648076961,819198554895,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1648092796,819198570730,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1648109781,819198587716,"(0.46053653955459595, 0.7223851680755615)","(-21.13538360595703, 91.26879119873047, 26.382081985473633)",1,3.6114654541015625,1,"(18.19727325439453, -30.32710075378418, 602.725341796875)",1,"(0.47610265016555786, 0.7578754425048828)","(-12.542839050292969, 80.91355895996094, 22.61309814453125)",1,3.7811737060546875,1,"(71.50738525390625, -28.746204376220703, 598.735107421875)",1
