device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1419721006,818970194779,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.48942285776138306, 0.7913879156112671)","(-5.190045356750488, 71.13542175292969, 19.054157257080078)",1,3.8978729248046875,1,"(22.951702117919922, -47.64118576049805, 627.2272338867188)",1
1419737406,818970211179,"(0.5086197257041931, 0.788533627986908)","(5.406691074371338, 71.96823120117188, 19.35726547241211)",1,3.7116546630859375,1,"(-39.45706558227539, -40.02273178100586, 625.8001708984375)",1,"(0.4898310601711273, 0.7872588038444519)","(-4.96470832824707, 72.34019470214844, 19.492673873901367)",1,3.8872528076171875,1,"(22.90968894958496, -47.58112335205078, 627.1361083984375)",1
1419754253,818970228026,"(0.5377616882324219, 0.8101805448532104)","(21.493165969848633, 65.65216827392578, 17.058422088623047)",1,3.5761871337890625,1,"(-39.49808883666992, -39.97355270385742, 625.8114624023438)",1,"(0.4894968271255493, 0.7916723489761353)","(-5.149194240570068, 71.05240631103516, 19.023942947387695)",1,3.88165283203125,1,"(22.869565963745117, -47.517845153808594, 627.1135864257812)",1
1419771027,818970244800,"(0.5305631160736084, 0.880450427532196)","(17.51951026916504, 45.14908981323242, 9.595916748046875)",1,3.5137176513671875,1,"(-39.56919479370117, -39.90280532836914, 626.0008544921875)",1,"(0.4914432466030121, 0.7906812429428101)","(-4.074777603149414, 71.34161376953125, 19.12917709350586)",1,3.8696746826171875,1,"(22.791175842285156, -47.431861877441406, 627.373046875)",1
1419787332,818970261106,"(0.5052089095115662, 0.8146913647651672)","(3.523895025253296, 64.33601379394531, 16.57939338684082)",1,3.8036041259765625,1,"(-39.703514099121094, -39.82862854003906, 626.127197265625)",1,"(0.4886032044887543, 0.7987837791442871)","(-5.642479419708252, 68.97748565673828, 18.26871109008789)",1,3.887969970703125,1,"(22.69086265563965, -47.34461975097656, 627.5076904296875)",1
1419804229,818970278003,"(0.5133560299873352, 0.829990804195404)","(8.021187782287598, 59.87199401855469, 14.954593658447266)",1,3.746795654296875,1,"(-39.76214599609375, -39.749637603759766, 625.8779296875)",1,"(0.4886699616909027, 0.7953118681907654)","(-5.605625152587891, 69.9905014038086, 18.637428283691406)",1,3.879730224609375,1,"(22.584558486938477, -47.269657135009766, 627.264404296875)",1
1419820942,818970294716,"(0.5040999054908752, 0.8029060959815979)","(2.9117588996887207, 67.774658203125, 17.830955505371094)",1,3.8104705810546875,1,"(-39.844669342041016, -39.603111267089844, 625.4859008789062)",1,"(0.4960355758666992, 0.7938627004623413)","(-1.5398132801055908, 70.41332244873047, 18.791351318359375)",1,3.8787078857421875,1,"(22.387306213378906, -47.111778259277344, 626.8590698242188)",1
1419837242,818970311017,"(0.49946558475494385, 0.7790594100952148)","(0.35359475016593933, 74.73258972167969, 20.363386154174805)",1,3.8852386474609375,1,"(-39.988067626953125, -39.410274505615234, 625.0980224609375)",1,"(0.4886966049671173, 0.7953130006790161)","(-5.590948104858398, 69.99018096923828, 18.63732147216797)",1,3.8870697021484375,1,"(22.23725700378418, -46.92631912231445, 626.5236206054688)",1
1419854098,818970327873,"(0.49691885709762573, 0.7724561095237732)","(-1.0522018671035767, 76.65927124023438, 21.064659118652344)",1,3.9019775390625,1,"(-40.0787239074707, -39.313453674316406, 625.024658203125)",1,"(0.4876655638217926, 0.7966857552528381)","(-6.160088062286377, 69.58963775634766, 18.491561889648438)",1,3.8792266845703125,1,"(22.126413345336914, -46.81016540527344, 626.4424438476562)",1
1419870858,818970344633,"(0.4946540296077728, 0.7584074139595032)","(-2.302431583404541, 80.75834655761719, 22.556617736816406)",1,3.930389404296875,1,"(-40.204227447509766, -39.17827224731445, 624.951416015625)",1,"(0.48794254660606384, 0.7972574234008789)","(-6.007185459136963, 69.42283630371094, 18.430866241455078)",1,3.878631591796875,1,"(21.9586238861084, -46.645545959472656, 626.390380859375)",1
