device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1047392306,818597859383,"(1.115179181098938, 1.330817461013794)","(340.2296142578125, -86.25739288330078, -38.232173919677734)",1,6.1236114501953125,1,"(-25.273439407348633, 19.9622745513916, 723.1307983398438)",1,"(1.1471751928329468, 1.3127894401550293)","(357.8916015625, -80.99720001220703, -36.317569732666016)",1,6.2708587646484375,1,"(42.46529006958008, 15.459117889404297, 722.1464233398438)",1
1047408955,818597876032,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(1.1378332376480103, 1.3008278608322144)","(352.73468017578125, -77.50712585449219, -35.047306060791016)",1,6.257965087890625,1,"(41.9882698059082, 15.621585845947266, 719.8931884765625)",1
1047424528,818597891605,"(1.115362524986267, 1.3311394453048706)","(340.330810546875, -86.35128021240234, -38.26636505126953)",1,6.1145172119140625,1,"(-25.92879867553711, 20.655067443847656, 718.9799194335938)",1,"(1.14071786403656, 1.3038667440414429)","(354.32696533203125, -78.39374542236328, -35.37002182006836)",1,6.2449951171875,1,"(41.543540954589844, 15.799787521362305, 718.3018188476562)",1
1047442176,818597909254,"(1.104109525680542, 1.314834713935852)","(334.119140625, -81.59397888183594, -36.53482437133789)",1,6.1337432861328125,1,"(-26.116628646850586, 20.77226448059082, 718.1485595703125)",1,"(1.139136552810669, 1.3384162187576294)","(353.45416259765625, -88.4744873046875, -39.03910827636719)",1,6.1684722900390625,1,"(41.24501419067383, 15.894594192504883, 717.3215942382812)",1
1047458880,818597925958,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(1.1413730382919312, 1.292367935180664)","(354.6885681152344, -75.03866577148438, -34.14891052246094)",1,6.232147216796875,1,"(40.67283248901367, 16.023977279663086, 715.5731201171875)",1
1047474448,818597941526,"(1.0952907800674438, 1.3046987056732178)","(329.25115966796875, -78.63648986816406, -35.458377838134766)",1,6.1339111328125,1,"(-27.060897827148438, 21.141311645507812, 714.61474609375)",1,"(1.1344879865646362, 1.310256838798523)","(350.8881530761719, -80.25823974609375, -36.0485954284668)",1,6.174407958984375,1,"(40.10569381713867, 16.169570922851562, 714.05810546875)",1
1047492045,818597959123,"(1.100249171257019, 1.3022266626358032)","(331.9881591796875, -77.91526794433594, -35.19584274291992)",1,6.11944580078125,1,"(-27.31945037841797, 21.19392967224121, 713.818359375)",1,"(1.122127890586853, 1.2881196737289429)","(344.0653076171875, -73.79911804199219, -33.697689056396484)",1,6.236114501953125,1,"(39.71559143066406, 16.256284713745117, 713.1288452148438)",1
1047508795,818597975874,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(1.1370363235473633, 1.2869353294372559)","(352.2947692871094, -73.45358276367188, -33.571922302246094)",1,6.196868896484375,1,"(38.96167755126953, 16.404617309570312, 711.049072265625)",1
1047524368,818597991447,"(1.0933864116668701, 1.2957422733306885)","(328.19989013671875, -76.023193359375, -34.507259368896484)",1,6.07080078125,1,"(-28.486621856689453, 21.47974967956543, 709.75146484375)",1,"(1.1235039234161377, 1.2893683910369873)","(344.8247985839844, -74.16350555419922, -33.830318450927734)",1,6.180084228515625,1,"(38.30183029174805, 16.596200942993164, 709.3731689453125)",1
1047541914,818598008993,"(1.041508674621582, 1.3062618970870972)","(299.5631408691406, -79.09262084960938, -35.624412536621094)",1,5.929046630859375,1,"(-28.960603713989258, 21.660669326782227, 709.603515625)",1,"(1.0675992965698242, 1.2592568397521973)","(313.9653015136719, -65.37767028808594, -30.63254165649414)",1,6.1298675537109375,1,"(37.66156005859375, 16.832414627075195, 708.892822265625)",1
