device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
791033675,818341496344,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791050315,818341512984,"(-0.14163744449615479, 0.4149731993675232)","(-353.5374755859375, 180.96429443359375, 59.02863311767578)",1,3.5562896728515625,1,"(-130.84405517578125, -123.91159057617188, 907.9002685546875)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791066357,818341529026,"(-0.14916855096817017, 0.39486831426620483)","(-357.6946716308594, 186.83042907714844, 61.16374206542969)",1,3.581268310546875,1,"(-130.66854858398438, -123.78582763671875, 905.8195190429688)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791083595,818341546264,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791100235,818341562905,"(-0.008386521600186825, 0.36018815636634827)","(-279.98248291015625, 196.94927978515625, 64.84669494628906)",1,3.6062774658203125,1,"(-130.07357788085938, -123.41207885742188, 903.7161865234375)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791116277,818341578947,"(0.008677449077367783, 0.382896363735199)","(-270.5631408691406, 190.32354736328125, 62.43510437011719)",1,3.60906982421875,1,"(-130.0665740966797, -123.364501953125, 903.1751098632812)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791133515,818341596185,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791150155,818341612825,"(0.060317475348711014, 0.4620358943939209)","(-242.0576629638672, 167.23255920410156, 54.03062438964844)",1,3.5970916748046875,1,"(-130.18795776367188, -123.24746704101562, 903.1040649414062)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791166197,818341628868,"(0.07545091956853867, 0.48810723423957825)","(-233.70396423339844, 159.6255340576172, 51.261940002441406)",1,3.5906982421875,1,"(-129.93548583984375, -122.92036437988281, 901.07421875)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791183435,818341646106,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791200075,818341662746,"(0.054536525160074234, 0.4560522139072418)","(-245.248779296875, 168.9784393310547, 54.6661491394043)",1,3.5587310791015625,1,"(-129.24855041503906, -122.41400909423828, 896.7857055664062)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791216117,818341678789,"(0.02917579934000969, 0.4169375002384186)","(-259.24798583984375, 180.3911895751953, 58.820030212402344)",1,3.5872650146484375,1,"(-128.90098571777344, -122.23283386230469, 894.8685913085938)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791233355,818341696027,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791249995,818341712667,"(0.026849661022424698, 0.4120355248451233)","(-260.5320129394531, 181.82144165039062, 59.34058380126953)",1,3.5797576904296875,1,"(-128.74014282226562, -121.97013854980469, 893.5531616210938)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791266037,818341728709,"(0.02182873710989952, 0.4255542457103729)","(-263.3035888671875, 177.87701416015625, 57.9049186706543)",1,3.5551910400390625,1,"(-128.61654663085938, -121.74734497070312, 892.8125610351562)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791283275,818341745948,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791299915,818341762588,"(6.0112673963885754e-05, 0.5644339323043823)","(-275.3199462890625, 137.35525512695312, 43.15610122680664)",1,3.5839691162109375,1,"(-128.4945526123047, -121.88420104980469, 892.4198608398438)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791315957,818341778630,"(-0.028022998943924904, 0.7459819316864014)","(-290.8219299316406, 84.38382720947266, 23.8762149810791)",1,3.5654449462890625,1,"(-128.40472412109375, -122.22339630126953, 892.525390625)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791333195,818341795868,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791349835,818341812509,"(-0.0155457379296422, 0.7748860716819763)","(-283.9344482421875, 75.95027160644531, 20.806652069091797)",1,3.5168304443359375,1,"(-128.35711669921875, -122.15019226074219, 891.6842651367188)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791365877,818341828551,"(-0.006846437230706215, 0.7829571962356567)","(-279.13238525390625, 73.59530639648438, 19.94953155517578)",1,3.5072479248046875,1,"(-128.59141540527344, -122.28937530517578, 892.3262329101562)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791383115,818341845789,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791399755,818341862430,"(-0.016128849238157272, 0.7825091481208801)","(-284.25628662109375, 73.72599792480469, 19.997058868408203)",1,3.5143585205078125,1,"(-128.50172424316406, -122.21125030517578, 890.7650756835938)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791415797,818341878472,"(-0.005666899029165506, 0.7873778939247131)","(-278.48126220703125, 72.30540466308594, 19.48003387451172)",1,3.503326416015625,1,"(-128.55845642089844, -122.17877197265625, 890.1221313476562)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791433035,818341895710,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791449675,818341912350,"(-0.014520352706313133, 0.7548869848251343)","(-283.368408203125, 81.7855224609375, 22.930450439453125)",1,3.488800048828125,1,"(-128.7063446044922, -122.31330871582031, 890.344482421875)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791465717,818341928393,"(-0.009991886094212532, 0.7712361216545105)","(-280.8686828613281, 77.0152359008789, 21.194225311279297)",1,3.5091552734375,1,"(-129.37704467773438, -122.8160171508789, 893.758056640625)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791482955,818341945631,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791499595,818341962271,"(-0.022211071103811264, 0.7791155576705933)","(-287.61370849609375, 74.71623992919922, 20.35740852355957)",1,3.5106048583984375,1,"(-129.7646942138672, -123.08612060546875, 894.831298828125)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
791515637,818341978313,"(-0.024069039151072502, 0.7826412916183472)","(-288.6393127441406, 73.68746948242188, 19.983064651489258)",1,3.5005340576171875,1,"(-130.19674682617188, -123.32361602783203, 895.9459838867188)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
