device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
764854326,818315316567,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.24018006026744843, 1.6439002752304077)","(-142.7729034423828, -177.6075439453125, -71.48085021972656)",1,4.0155487060546875,1,"(-10.762543678283691, -104.04579162597656, 865.1702270507812)",1
764870368,818315332609,"(0.290573388338089, 1.8291712999343872)","(-114.95562744140625, -231.66517639160156, -91.15621948242188)",1,3.755279541015625,1,"(-74.27083587646484, -106.70112609863281, 862.0911865234375)",1,"(0.24459192156791687, 1.6399827003479004)","(-140.3375244140625, -176.46444702148438, -71.0648193359375)",1,4.0196380615234375,1,"(-10.436930656433105, -103.92356872558594, 864.87890625)",1
764887606,818315349848,"(0.28570324182510376, 1.7707648277282715)","(-117.64396667480469, -214.62356567382812, -84.95356750488281)",1,3.855194091796875,1,"(-74.23370361328125, -106.69127655029297, 862.1144409179688)",1,"(0.2500971555709839, 1.6446210145950317)","(-137.29861450195312, -177.8177947998047, -71.55741119384766)",1,3.9965667724609375,1,"(-10.37458324432373, -103.89164733886719, 864.8662109375)",1
764904246,818315366488,"(0.2906794250011444, 1.744073748588562)","(-114.89708709716797, -206.83575439453125, -82.11911010742188)",1,3.8815155029296875,1,"(-74.19287872314453, -106.6080093383789, 861.9771728515625)",1,"(0.2510659396648407, 1.6373646259307861)","(-136.7638397216797, -175.7005615234375, -70.78678894042969)",1,4.0221710205078125,1,"(-10.327841758728027, -103.85628509521484, 864.7429809570312)",1
764920288,818315382530,"(0.301114559173584, 1.7690863609313965)","(-109.13687133789062, -214.1338348388672, -84.77537536621094)",1,3.796661376953125,1,"(-74.32678985595703, -106.55892181396484, 861.457275390625)",1,"(0.2439413219690323, 1.644728422164917)","(-140.69667053222656, -177.84913635253906, -71.56881713867188)",1,4.01104736328125,1,"(-10.467357635498047, -103.8514633178711, 864.2574462890625)",1
764937526,818315399769,"(0.297168105840683, 1.8262155055999756)","(-111.3153305053711, -230.80274963378906, -90.8423843383789)",1,3.6781158447265625,1,"(-74.4056396484375, -106.54600524902344, 861.3287353515625)",1,"(0.2526255249977112, 1.6193842887878418)","(-135.90298461914062, -170.45431518554688, -68.8772964477539)",1,4.06689453125,1,"(-10.570306777954102, -103.85014343261719, 864.1205444335938)",1
764954166,818315416409,"(0.29132887721061707, 1.806809902191162)","(-114.53861236572266, -225.14064025878906, -88.78157806396484)",1,3.7553253173828125,1,"(-74.67382049560547, -106.52578735351562, 861.1139526367188)",1,"(0.24252434074878693, 1.6423827409744263)","(-141.47886657714844, -177.16473388671875, -71.3196792602539)",1,3.9996490478515625,1,"(-10.827210426330566, -103.84393310546875, 863.9446411132812)",1
764970208,818315432451,"(0.30159083008766174, 1.8292052745819092)","(-108.87397003173828, -231.6750946044922, -91.15983581542969)",1,3.694915771484375,1,"(-74.8467788696289, -106.4705810546875, 860.3466796875)",1,"(0.24553848803043365, 1.6383936405181885)","(-139.8150634765625, -176.0008087158203, -70.89608001708984)",1,3.991607666015625,1,"(-11.070578575134277, -103.77049255371094, 863.212646484375)",1
764987446,818315449689,"(0.28833845257759094, 1.8093000650405884)","(-116.18932342529297, -225.8672637939453, -89.04597473144531)",1,3.72723388671875,1,"(-74.87396240234375, -106.43638610839844, 860.0556640625)",1,"(0.25005462765693665, 1.6464357376098633)","(-137.32211303710938, -178.34732055664062, -71.7501220703125)",1,3.983123779296875,1,"(-11.141573905944824, -103.70509338378906, 862.8833618164062)",1
765004086,818315466330,"(0.29068654775619507, 1.8222084045410156)","(-114.89317321777344, -229.633544921875, -90.41680908203125)",1,3.7142333984375,1,"(-74.96259307861328, -106.34545135498047, 859.580810546875)",1,"(0.24376998841762543, 1.6414326429367065)","(-140.79124450683594, -176.88754272460938, -71.21881103515625)",1,3.9711151123046875,1,"(-11.250828742980957, -103.5988540649414, 862.4508666992188)",1
765020128,818315482372,"(0.28887996077537537, 1.7936553955078125)","(-115.89041137695312, -221.30247497558594, -87.3845443725586)",1,3.743194580078125,1,"(-75.09415435791016, -106.42424774169922, 859.7333984375)",1,"(0.24322105944156647, 1.6370056867599487)","(-141.09423828125, -175.5958251953125, -70.74868774414062)",1,3.9630584716796875,1,"(-11.372337341308594, -103.6412582397461, 862.6172485351562)",1
765037366,818315499610,"(0.28857123851776123, 1.7984977960586548)","(-116.06082153320312, -222.7154541015625, -87.89883422851562)",1,3.733551025390625,1,"(-75.10660552978516, -106.44386291503906, 859.5567626953125)",1,"(0.24796466529369354, 1.6442996263504028)","(-138.4757843017578, -177.7239990234375, -71.52327728271484)",1,3.94769287109375,1,"(-11.428912162780762, -103.6429214477539, 862.4119262695312)",1
765054006,818315516250,"(0.28131774067878723, 1.8274123668670654)","(-120.0647964477539, -231.1519775390625, -90.96946716308594)",1,3.654266357421875,1,"(-75.18852996826172, -106.47520446777344, 858.7540283203125)",1,"(0.24747337400913239, 1.6377036571502686)","(-138.74696350097656, -175.7994842529297, -70.82279205322266)",1,3.944732666015625,1,"(-11.579019546508789, -103.61256408691406, 861.662841796875)",1
